LD_007991,xTool Official US,LD08041,必招 7 月,,,/,3C,/,/,Computers & Office Equipment,Office Equipment,,T3,7494514094804731788,3C,wangzhenwei.1,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7494222005777499237,7494222005777499237,,,,,,7494222005777499237,已填写,2025-10-27,1.skm,1,1,1,3328.16,T1,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007992,Wolves in the North,LD08042,,,,/,Fashion,/,/,Menswear & Underwear,/,,T3,7496279162385238927,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496279162385238927,7496279162385238927,,,,,,7496279162385238927,已填写,2025-12-11,2.hipo,1,1,1,63.36,T1,2025-11-27,3.other,1,1,1,35776.21,T3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007993,Madebut,LD08043,,,,/,Home&Living,/,/,Tools & Hardware,Measuring Tools,,T3,7495954209411795847,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007994,Fanxiang Direct Store,LD08044,必招 7 月,,,/,3C,/,/,Computers & Office Equipment,Data Storage & Software,,T3,7495498556672805642,育商,zhuxiaoyi.suki,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7495737439868652192,7495737439868652192,,,,,,7495737439868652192,已填写,2025-09-02,2.hipo,1,1,1,0.00,T0,2025-03-07,1.skm,1,1,1,6672.57,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007995,Belift shop,LD08045,,AM招商推进,fashion自补,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7496154446214761238,育商,xuhanwen.19,AM,,Millie Cheng,已进群,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007996,WEWEFDE,LD08046,,,,/,Home&Living,/,/,Home Supplies,Home Organizers,,T3,7496060941569460322,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007997,ENYAMUSICOfficialFlagship,LD08047,必招 7 月,,,/,Beauty&FMCG,/,/,Toys & Hobbies,Musical Instruments & Accessories,,T2,7494129397788280519,快消生活,liushanyu.0213,BD,张志强,,/,/,/,,是,5-已入驻,,,,,,,7494129397788280519,7494129397788280519,,,,,,7494129397788280519,已填写,2025-12-16,1.skm,1,1,1,5362.88,T2,2025-12-10,2.hipo,1,1,1,23883.18,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007998,eufyOfficial,LD08048,必招 7 月,,,/,3C,/,/,Phones & Electronics,Home Appliances,,T4,7495157213974203152,3C,yangyuhui,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7494102303840373619,7494102303840373619,,,,,,7494102303840373619,已填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007999,JoyJollyCrafts,LD08049,必招 7 月,,,/,Beauty&FMCG,/,/,Toys & Hobbies,DIY,,T2,7495791822859962380,快消生活,wangshu.jasmine,BD,张志强,,/,/,/,,是,4-入驻中,,金正汉总 准备资料了,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_008000,After Black Hair Shop,LD08050,,AM招商推进,fashion自补,/,Fashion,/,/,Fashion Accessories,/,,T3,7494377372735407565,育商,xuhanwen.19,AM,,郭晓彤,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
