LD_005831,AUTOYOUTH,LD05873,,,,JUFENG INTERNATIONAL TRADING LIMITED,Home&Living,HIPO靶向商家,美区T4,Automotive & Motorcycle,/,,#N/A,7496111970405944048,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496111970405944048,7496111970405944048,,,,,,7496111970405944048,已填写,2025-04-21,2.hipo,1,1,1,0.00,T0,2025-03-08,2.hipo,1,1,1,2284.62,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_005832,Zeagoo,LD05874,,,fashion自补,VASTRENT LTD,Fashion,HIPO靶向商家,美区T4,#N/A,#N/A,,,NULL,NULL,NULL,,,Millie Cheng,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005833,LumiLoomm,LD05875,,,,Yuejing Trading Limited,Home&Living,HIPO靶向商家,美区T4,Home Supplies,NULL,,T0,7496181591085976416,日用家纺,wangchangli,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005834,OURBELLA SHOP,LD05876,,AM招商推进,,湖北猫宁科技有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Makeup,,T4,7496225475560115193,快消生活,liuburong.emma,AM,,陈杏妹,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005835,Urkang Beauty,LD05877,,AM招商推进,,苍南县牛牛电子科技有限公司,3C,HIPO靶向商家,美区T4,Beauty & Personal Care,Personal Care Appliances,,T4,7496019515169409785,3C,panlin.888,AM,,郑羽伶,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005836,Oneisall Shop US,LD05878,,AM招商推进,,HIGHYOE INC,Beauty&FMCG,HIPO靶向商家,美区T4,Pet Supplies,Dog & Cat Accessories,,T4,7495703540451806015,快消生活,chenhaihua,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005837,VitalSigns,LD05879,,,,武汉市行子凡百货有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,/,,#N/A,8647690237089323175,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005838,AeMamma tech,LD05880,,,,深圳市奥漫科技有限公司,Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,Fitness,,T2,7495385851710573149,运动潮奢,zhuyanan.1202,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005839,BAGSMART Travel,LD05881,,,,BSMT INC,Fashion,HIPO靶向商家,美区T4,#N/A,#N/A,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005840,GRT BEAUTY,LD05882,,AM招商推进,,TIMIN WONG TRADE INC,Home&Living,HIPO靶向商家,美区T4,Home Supplies,Haircare & Styling,,T4,7496001087799855601,日用家纺,zhongjie.ma,AM,,刘雨欣,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
