LD_008341,DEBAOBULB,LD08391,,,,/,Home&Living,/,/,Home Improvement,/,,T3,7496004216121691042,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008342,Liyuan Department Store,LD08392,,,,/,/,/,/,Automotive & Motorcycle,/,,T3,7494454352610822029,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008343,Joytutus AutoParts,LD08393,,,,/,Home&Living,/,/,Automotive & Motorcycle,/,,T3,7495999010207598791,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7495999010207598791,7495999010207598791,,,,,,7495999010207598791,已填写,2025-03-24,2.hipo,1,1,1,127633.90,T4,2025-03-24,2.hipo,1,1,1,304637.50,T5,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008344,Benatu Skincare,LD08394,,,,/,/,/,/,Home Supplies,/,,T3,7495441376620546142,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008345,LA Liquidation Center,LD08395,,,,/,/,/,/,Collectibles,/,,T3,7494616220756248466,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008346,LEAFPLNT Shop,LD08396,,,,/,Home&Living,/,/,Home Supplies,Home Decor,,T4,7496096787430148488,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008347,Jollyhit,LD08397,,AM招商推进,fashion自补,/,Fashion,/,/,Fashion Accessories,/,,T3,7496158611808684496,服饰服配,liyaoyao.y,AM,,郭晓彤,清退店铺回捞,/,/,,是,5-已入驻,,,,,,,,7496233378385398274,,,,,,,已填写,,,,,,,,2025-07-01,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_008348,NICEIP,LD08398,,,,/,Beauty&FMCG,/,/,Toys & Hobbies,/,,T3,7495806653758736695,快消生活,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7495806653758736695,7495806653758736695,,,,,,7495806653758736695,已填写,2025-03-18,2.hipo,0,0,0,,T0,2025-03-20,3.other,0,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_008349,PrimeStride Shop,LD08399,,,,/,3C,/,/,Sports & Outdoor,/,,T3,7494600676803642969,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008350,Miroza Furniture,LD08400,,,,/,Home&Living,/,/,Furniture,/,,T3,7494088040610498346,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
