LD_007921,VIVOSUN US,LD07971,,,,/,Home&Living,/,/,Kitchenware,/,,T3,7496314155927177855,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007922,Art&Tuft Rugs,LD07972,,,,/,Home&Living,/,/,Textiles & Soft Furnishings,Household Textiles,,T4,7496314151414040913,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494467137668809941,,,,,,7494467137668809941,已填写,,,,,,,,2026-03-04,2.hipo,1,1,1,6519.47,T2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007923,ZERKIT,LD07973,,,,/,/,/,/,Beauty & Personal Care,/,,T3,7496039374117047152,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007924,Snugglee shop,LD07974,必招 7 月,,,/,Beauty&FMCG,/,/,Pet Supplies,Dog & Cat Grooming,,T3,7494623977705604732,快消生活,haoyemeng.ian,BD,张志强,,/,13093749673,杭州福州,,是,2-已触达/沟通中,,美区关店 ,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007925,Crimson Ember,LD07975,,AM招商推进,fashion自补,/,Fashion,/,/,Jewelry Accessories & Derivatives,/,魏潇潇,T3,7494676412525479716,运动潮奢,hsinyi.7,AM,,郭晓彤,尝试打电话,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007926,HEBE,LD07976,,,,/,Home&Living,/,/,Textiles & Soft Furnishings,/,,T3,7495338414936853246,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007927,UlikeGlobal,LD07977,必招 7 月,,,/,3C,/,/,Beauty & Personal Care,Personal Care Appliances,,T5,7495369356529601393,3C,panlin.888,BD,李泽,,马特-TTS欧区负责人,@Mattew 马特,杭州,,是,5-已入驻,,,,,,,7496230242066664114,7496230242066664114,,,,,,7496230242066664114,已填写,,,,,,,,2025-06-25,1.skm,1,0,0,0.00,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_007928,LaceMade,LD07978,,,,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7495665912108190387,服饰服配,NULL,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7495665912108190387,7495665912108190387,,,,,,7495665912108190387,已填写,,3.other,0,0,0,,T0,2026-07-07,2.hipo,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_007929,eGadgets,LD07979,必招 7 月,,,/,3C,/,/,Household Appliances,Home Appliances,,T5,7495168489971026666,3C,zhuxiaoyi.suki,BD,李泽,,/,/,/,,是,3-商家有意愿,,,,,,,7496101188091611657,7496101188091611657,,,,,,7496101188091611657,已填写,2025-04-23,2.hipo,1,0,0,,T0,2025-02-28,2.hipo,1,1,1,45536.50,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007930,Lumi Home,LD07980,,,,/,Home&Living,/,/,Furniture,/,,T3,7494262366303586284,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
