LD_005931,VIVONU S,LD05973,,,,MANNI GAO LLC,Beauty&FMCG,HIPO靶向商家,美区T4,Health,/,,#N/A,8648099819409086583,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005932,PretiHom Living Pavilion,LD05974,,AM招商推进,,Pretihom Inc.,3C,HIPO靶向商家,美区T4,Beauty & Personal Care,Personal Care Appliances,,T4,7496021530288556163,3C,panlin.888,AM,,郑羽伶,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005933,Top Furniture,LD05975,,AM招商推进,,Xingang Hongye Trading Co Ltd,Home&Living,HIPO靶向商家,美区T4,Furniture,Indoor Furniture,,T4,7494205326512326253,家具家装,zhulong.zhu,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005934,Sloosh,LD05976,,,,JOYIN US CORP,Home&Living,HIPO靶向商家,美区T4,Toys & Hobbies,/,,#N/A,7496289372412218179,NULL,NULL,BD,张志强,,/,/,/,,是,5-已入驻,,17/07/2026入驻跟卖家和am对齐,,,,,,7494778553553945977,,,,,,,已填写,,,,,,,,2026-07-17,3.other,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_005935,BESFEEL,LD05977,必招 7 月,,,临沧耿马县岐滕百货有限责任公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,Home Organizers,,T3,8647690237089323175,育商,xuhanwen.19,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005936,Dobreva.us,LD05978,,,,"Guangzhou Jimu Network Technology Co., Limited",Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Underwear,,T4,7494156839477871935,新开国,youwenhao.ywh,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,7494156839477871935,,,,,,7494156839477871935,已填写,,,,,,,,2026-04-20,2.hipo,1,1,1,15994.28,T2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_005937,ATTRACOOfficial,LD05979,,AM招商推进,fashion自补,鲁木智能科技（深圳）有限公司,Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,Women's Tops,马思宇,T4,7495677141934115816,服饰服配,cicigao,AM/BD,赵月晨,谢冰沁Bibi,女装商家，已建联给Millie,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005938,Rossetta,LD05980,,AM招商推进,,AUKFA INC,3C,HIPO靶向商家,美区T4,Home Improvement,Lights & Lighting,,T4,7495187609835636867,3C,zhangwenli.168,AM,,郑羽伶,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005939,WaKa Toys,LD05981,必招 7 月,,,东莞市炽核玩家文化有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Collectibles,Entertainment,,T4,7496125306449856677,快消生活,wangshu.jasmine,BD,赵月晨,陈晴,/,/,/,,是,5-已入驻,,,,,,,7496125306449856677,7496125306449856677,,,,,,7496125306449856677,已填写,,,,,,,,2025-12-16,2.hipo,1,1,1,12585.62,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_005940,Comhoma Shop,LD05982,,,,武狄实业（上海）有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,/,,#N/A,7496062913201081035,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
