LD_001631,Koyows Shop,LD01635,,,,深圳市灿登科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Costume Jewelry & Accessories,,NULL,8655325497792565919,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001632,CAITINA.SHOP,LD01636,,,,吴川市喜金商行,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001633,เงินม้วนเงิน,LD01637,,,,Hong Kong Beibeijia Co.. imited,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001634,GODMOTHER,LD01638,,,,常德塔图姆电子商务有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001635,Vivalift.bra,LD01639,,,,佛山市南海区焱启科技中心(个体工商户),Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001636,LanFeng,LD01640,,,,佛山市伽岚电子商务有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001637,Baisanmy,LD01641,,,,广州佰衫服装服饰有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001638,Arssm,LD01642,,AM招商推进,,广州计河网络科技有限公司,Fashion,HIPO靶向商家,CNOB,Womenswear & Underwear,Women's Tops,崔媚君,T4,7495786026833054159,服饰服配,mayinxuan.127,AM,,谢冰沁Bibi,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001639,MELELOVE,LD01643,,,,广州千川传媒有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,NULL,,T0,7496132725189872628,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001640,VATAN SHOP,LD01644,,AM招商推进,,广州市兰腾贸易有限公司,Fashion,HIPO靶向商家,CNOB,Fashion Accessories,Clothes Accessories,马思宇,T3,7495328618901834221,服饰服配,wangrui.wil,AM,,郭晓彤,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
