LD_006041,张家港保税区逐光国际贸易有限公司,LD06085,,,,张家港保税区逐光国际贸易有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006042,CRZ Yoga,LD06090,,,,CRZ Yoga,Fashion,/,/,#N/A,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,7494082775515890847,,,,,,7494082775515890847,已填写,,,,,,,,2021-07-28,1.skm,0,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_006043,Eikione,LD06091,,,,Eikione,/,/,/,#N/A,NULL,,T0,7496282583240641074,育商,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006044,Quilo,LD06092,,,,Quilo,/,/,/,#N/A,NULL,,T0,7494714663686341858,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006045,百客屋（深圳）科技有限公司,LD06093,,,,百客屋（深圳）科技有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,黄忆卓Amy,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006046,UBT,LD06094,,,,UBT,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,黄忆卓Amy,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006047,中巨量（深圳）科技有限公司,LD06095,,,,中巨量（深圳）科技有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,黄忆卓Amy,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006048,利通电子,LD06096,,,,利通电子,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,黄忆卓Amy,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006049,凡特科技,LD06097,,,,凡特科技,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006050,Innodigital,LD06098,,,,Innodigital,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
