LD_002471,Avenco.id,LD02488,,,,甜秘密,Home&Living,HIPO靶向商家,CNOB,Lifestyle 2,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002472,Vipfree Home us,LD02489,,,,武汉夏采梦网络科技有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",Bedding and Linens,,T3,7496086012204780181,日用家纺,zhongjie.ma,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,,7494605125386733204,,,,,,7494605125386733204,已填写,,,,,,,,2026-05-15,2.hipo,1,1,0,,T0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
LD_002473,AETHSTEEL,LD02490,,,,梦卡莱（北京）科技有限公司-CNOB,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002474,Litanika,LD02491,,,,香港喜加樂國際有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,T4,7495943918054115883,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494543967090936597,,,,,,7494543967090936597,已填写,,,,,,,,2022-03-11,2.hipo,0,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_002475,BotareHomeSupplies,LD02492,,,,HONG KONG ZHICHU COMMDOITY CO.，LIMITED-CNOB,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Home Care Supplies,,T3,7496136074801678566,日用家纺,tian,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002476,BenMu,LD02493,,,,仙游县尚麟贸易有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002477,Pet shop ll,LD02494,,,,新乡市华畜商贸有限公司-CNOB,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002478,FurryFolia,LD02495,,,,新乡市华畜商贸有限公司-CNOB,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002479,Chanmin Toy,LD02496,,,,新余纵达贸易有限公司-CNOB,Beauty&FMCG,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Sports & Outdoor Play,,T2,7496189149042346960,快消生活,wangshu.jasmine,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002480,VIPfree US,LD02497,,AM招商推进,,易佰-CNOB,Home&Living,HIPO靶向商家,CNOB,Textiles & Soft Furnishings,Bedding and Linens,,T4,7496019548566358802,日用家纺,zhongjie.ma,AM,,刘雨欣,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
