LD_002781,Ocoopa&Diveblues,LD02811,,,,Ocoopa Innovations LLC,Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,/,,#N/A,7496169606839110620,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7496169606839110620,,,,,,7496169606839110620,已填写,,,,,,,,2025-05-06,1.skm,1,0,1,12820.43,T2,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002782,MuchBetter001,LD02812,,AM招商推进,,深圳市踏雪贸易有限公司,Home&Living,HIPO靶向商家,美区T4,Automotive & Motorcycle,Car Electronics,,T3,7495889250177223603,汽摩工具,tangyong.allen,AM,,王妙辰,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002783,Lovetec,LD02813,,AM招商推进,,泉州北固信息科技有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,Festive & Party Supplies,,T3,7495956294753224745,日用家纺,wangchangli,AM,,刘雨欣,/,/,/,,是,3-商家有意愿,"王长利, Jeffery, 刘雨欣",,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002784,Lush Haute,LD02814,,AM招商推进,,DINGSHANG INDUSTRIAL LIMITED,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Hair Extensions & Wigs,李晓宗,T4,7495899884110252955,服饰服配,weiyue.0123,AM,,郭晓彤,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002785,Dripex Shop,LD02815,,,,"ZHONGFUTAI TRADING CO., LIMITED",Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,/,,T4,7495703196645296394,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496128423975618770,7496128423975618770,,,,,,7496128423975618770,已填写,2025-03-24,1.skm,1,0,0,,T0,2025-04-14,1.skm,1,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_002786,Taren Cosmetics,LD02816,,,,泉州悦城晖商贸有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Skincare,,T2,7496025081668012453,快消生活,wanghuarong.925,,,,/,/,/,,是,5-已入驻,,,,,,,,7494169110002631725,,,,,,7494169110002631725,已填写,,,,,,,,2025-09-25,2.hipo,0,0,0,0.00,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002787,Jingsha Socks Industry,LD02817,,AM招商推进,,义乌市鹏楷贸易有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Underwear,,T3,7496005166444939467,服饰服配,youwenhao.ywh,AM,,Millie Cheng,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002788,gymladymall,LD02818,,,,佛山弘智服饰有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,/,,#N/A,7496123047765379727,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7496123047765379727,,,,,,7496123047765379727,已填写,,,,,,,,2025-04-16,2.hipo,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002789,TCVC shop,LD02819,,,,义乌市新格针织有限公司,Fashion,HIPO靶向商家,美区T4,#N/A,#N/A,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002790,FreshPick Finds&CN,LD02820,,AM招商推进,,GLNational LLC,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Tops,,T3,7496137196606949535,服饰服配,cicigao,AM,,谢冰沁Bibi,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
