LD_001551,ClearLab,LD01555,,,,利達服飾贸易有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,BHPC,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001552,Milai Bulu Mata,LD01556,,,,南川区晓磊日用品经营部,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001553,huuifre,LD01557,,,,騰運科技有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001554,NIPPORI Malaysia,LD01558,,,,宁夏宝易车二手车销售有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001555,Milai Thailand,LD01559,,,,青岛市城阳区嘉睫美睫毛制品店,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001556,Brigie Vietnam,LD01560,,,,上海语梦之筑心理咨询有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,"Health, Beauty & Personal Care",/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001557,G.M. Cosmetic,LD01561,,,,厦门冠昶佳俊进出口有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001558,Miss Soul Indonesia,LD01562,,,,厦门市海沧区罗静顺欣建材经营部,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001559,HaleyeShop,LD01563,,,,沈阳市于洪区余理百货店(个体工商户)-CNOB,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001560,GP Greenpeople Supplement,LD01564,,,,汕头市澄海区几何玩具商行,Home&Living,HIPO靶向商家,CNOB,Health & Elevated Home,NULL,,NULL,8655453208751412043,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
