LD_002211,inGreens Supplement Official,LD02226,,,,拜澳(西安)生物科技有限公司,Home&Living,HIPO靶向商家,CNOB,Health & Elevated Home,Nutrition & Wellness,,T2,7495624076045487022,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002212,Kavouge PH,LD02227,,,,伴互,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002213,Garden.MY,LD02228,,,,半亩花田,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002214,chocmet food,LD02229,,,,北京历尚贸易有限责任公司,Beauty&FMCG,HIPO靶向商家,CNOB,Grocery,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002215,Sip2Glow PH,LD02230,,,,北京卡亦通文化传播有限公司,Home&Living,HIPO靶向商家,CNOB,"Mom & Babies, Health",/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002216,Beauty Habit ID,LD02231,,,,长葛市泽本商贸行,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002217,Fiboo HQ,LD02232,,,,长沙跟西商贸有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002218,HERBMICAL SG,LD02233,,,,澄迈嘉涵盈商贸有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002219,Viyouth US,LD02234,,,,当康白泽健康管理(海南)有限公司,Home&Living,HIPO靶向商家,CNOB,Health & Elevated Home,Nutrition & Wellness,,T3,7495619266249001503,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002220,Resenford,LD02235,,,,东阳市露咔电子商务有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
