LD_007891,Hip Hop Yangtuo,LD07941,,,,/,/,/,/,Beauty & Personal Care,/,,T3,7496114262838643477,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007892,FlavorForge Appliances,LD07942,必招 7 月,,,/,3C,/,/,Household Appliances,Large Home Appliances,,T2,7496248167696403226,3C,zhangtingting.2020,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7494750007435757159,7494317530009338933,,,,,,"7494750007435757159,7494317530009338933",已填写,2026-06-30,2.hipo,1,1,0,1477.15,T1,2025-12-18,3.other,1,1,1,1527.18,T1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
LD_007893,MageGee Direct Store,LD07943,必招 7 月,,,/,3C,/,/,Computers & Office Equipment,Computer Accessories,,T3,7495601536105613898,3C,mattzhang,BD,李泽,,/,/,/,,是,3-商家有意愿,,直邮申请中,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007894,POP MART US LOCAL SHOP,LD07944,必招 7 月,,,/,Beauty&FMCG,/,/,#N/A,#N/A,,,7495338510115507009,NULL,NULL,BD,张志强,,/,/,北京,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007895,Nalupatio,LD07945,,,,/,Home&Living,/,/,Furniture,Indoor Furniture,,T4,7495900697576769759,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007896,Celebria,LD07946,,,,/,Home&Living,/,/,Home Supplies,/,,T3,7494292598035089234,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007897,Face Beauty Workshop,LD07947,必招 7 月,,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Skincare,,T3,7496117890733148989,快消生活,liuburong.emma,BD,张志强,,/,/,/,,是,5-已入驻,,,,,,,7494778227461817649,7494778227461817649,,,,,,7494778227461817649,已填写,,,,,,,,2026-07-15,3.other,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_007898,MeJend,LD07948,,,fashion自补,/,Fashion,/,/,Menswear & Underwear,Men's Tops,,T3,7496114107694025558,服饰服配,NULL,,,罗才鑫,/,/,/,,否,1-待触达,,,,,,,7494275354134021314,,,,,,,7494275354134021314,已填写,2025-11-26,2.hipo,1,1,1,2953.98,T1,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007899,ARCH Furniture,LD07949,,,,/,Home&Living,/,/,Furniture,/,,T3,7494319756619711759,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007900,DWF DASHCAM,LD07950,,,,/,Home&Living,/,/,Automotive & Motorcycle,/,,T3,7495990318608321277,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
