LD_008101,EZ COZY US,LD08151,,,,/,Home&Living,/,/,Kitchenware,/,,T3,7496060711581354177,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008102,TBoomBoxk,LD08152,,,,/,3C,/,/,Phones & Electronics,/,,T3,7495820500816857721,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494494897319413322,,,,,,,7494494897319413322,已填写,2026-03-13,2.hipo,1,1,1,1529.62,T1,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008103,GoodMattress,LD08153,,,,/,Home&Living,/,/,Furniture,/,,T3,7494277212095743938,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008104,OQ HAIR SHOP,LD08154,,,fashion自补,/,Fashion,/,/,Fashion Accessories,/,,T3,7495205878591949358,服饰服配,NULL,,,郭晓彤,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008105,INKBIRD,LD08155,,,,/,Home&Living,/,/,Kitchenware,/,,T3,7495657679823472821,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7495853370204589016,7495853370204589016,,,,,,7495853370204589016,已填写,2025-04-18,1.skm,1,1,1,54732.20,T3,2025-04-18,2.hipo,1,1,1,6939.83,T2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008106,Sunny Cart,LD08156,,,,/,/,/,/,Automotive & Motorcycle,/,,T3,7494601909859550837,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008107,BESFEEL-BEST,LD08157,,,,/,/,/,/,Beauty & Personal Care,/,,T3,7494320788174505318,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008108,FY Books,LD08158,,,,/,3C,/,/,"Books, Magazines & Audio",Humanities & Social Sciences,,T3,7494319745208845729,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008109,PaP Toys,LD08159,,,,/,Beauty&FMCG,/,/,Collectibles,Entertainment,,T3,7494157407948277439,快消生活,wangshu.jasmine,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008110,MREGB,LD08160,,,,/,3C,/,/,Household Appliances,/,,T3,7494376371738871546,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
