LD_001091,Waterdrop,LD01093,,,,青岛伊可普电器有限公司,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Home Supplies,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001092,dosleeps,LD01094,,,,/,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Furniture,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001093,Homary,LD01095,,,,/,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Furniture,NULL,,T0,7494253163681712995,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001094,bednew,LD01096,,,,广州市永盈电子商务有限公司,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Furniture,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001095,fridgemaster,LD01097,,,,/,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001096,TANGZON,LD01098,,,,/,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Furniture,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001097,Reolink,LD01099,,,,Reolink Innovation Limited,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001098,feandrea,LD01100,,,,/,Home&Living,战略重点商家,A. 知名品牌｜Recognized Brands,Pet Supplies,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001099,w&o,LD01101,,,,/,3C,战略重点商家,A. 知名品牌｜Recognized Brands,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001100,Sperax,LD01102,,,,东莞市裕吾贸易有限公司,Fashion,战略重点商家,A. 知名品牌｜Recognized Brands,Sports & Outdoor,Festive & Party Supplies,,T1,7494535192527668358,3C,wangzhenwei.1,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
