LD_005801,Anyweekhair shop,LD05843,,AM招商推进,,许昌雅辰商贸有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Hair Extensions & Wigs,,T3,7495828705063242290,服饰服配,weiyue.0123,AM,,郭晓彤,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005802,Bling Hair Wigs Store,LD05844,,,,许昌悦曼商贸有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,/,,T3,7495760844622367684,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496139104027838762,,,,,,,7496139104027838762,已填写,2025-04-07,2.hipo,1,1,1,14521.85,T2,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_005803,FAQ,LD05845,,,,泉州市安奇贝拉电子商务有限公司,Fashion,HIPO靶向商家,美区T4,Menswear & Underwear,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005804,QuciLK,LD05846,,,,广州裴森贸易有限公司,Fashion,HIPO靶向商家,美区T4,NULL,NULL,,T4,7496110163827788033,服饰服配,xuli.henk,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005805,MIESOO,LD05847,,AM招商推进,,深圳市美硕电子商务有限公司,Home&Living,HIPO靶向商家,美区T4,Kitchenware,Kitchen Utensils & Gadgets,,T4,7495804007010896198,日用家纺,zhangshiwei.92,AM,,刘雨欣,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005806,CRZ YOGA US,LD05848,,,,"Guangzhou Jimu Network Technology Co., Limited",Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494082775515890847,,,,,,7494082775515890847,已填写,,,,,,,,2021-07-28,1.skm,0,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_005807,Euhomy Appliance,LD05849,,,,EUHOMY TECHNOLOGY INC,3C,HIPO靶向商家,美区T4,Household Appliances,Kitchen Appliances,,T4,7496116918187428662,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,7496199948857150390,,,,,,,7496199948857150390,已填写,2025-05-21,1.skm,1,1,1,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_005808,Imily Bela Living,LD05850,,,,Gagoo Inc,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,/,,#N/A,7495170650913802864,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,7496188044472322956,7496188044472322956,,,,,,7496188044472322956,已填写,2025-05-28,1.skm,1,1,1,9580.16,T2,2025-07-09,2.hipo,1,1,1,0.00,T0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_005809,PrimeSound Store,LD05851,,,,深圳市万星电子有限公司,3C,HIPO靶向商家,美区T4,Phones & Electronics,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005810,Imily Bela Shop,LD05852,,,,怀宁县麦诺威网络科技有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Tops,,NULL,8669125069018989759,育商,luoshuai.blue,,,,/,/,/,,是,1-待触达,,,,,,,7496188044472322956,7496188044472322956,,,,,,7496188044472322956,已填写,2025-05-28,1.skm,1,1,1,9580.16,T2,2025-07-09,2.hipo,1,1,1,0.00,T0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
