LD_007191,Semuer Hair Store,LD07241,,AM招商推进,,/,Fashion,/,/,Fashion Accessories,Hair Extensions & Wigs,丁超群,T3,7494354513326212303,服饰服配,zhoujie.jessie,AM,,郭晓彤,/,/,/,,是,5-已入驻,,,,,,,,7494380705620526297,,,,,,,已填写,,,,,,,,2026-01-23,2.hipo,1,1,1,74399.45,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_007192,Unique Charm Lab,LD07242,,AM招商推进,,/,Fashion,/,/,Sports & Outdoor,Sport & Outdoor Clothing,,T3,7494265912216094449,运动潮奢,zhaomin66,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007193,Vimod Shop,LD07243,,AM招商推进,,/,Fashion,/,/,Sports & Outdoor,"Swimwear, Surfwear & Wetsuits",崔媚君,T3,7494211951773975865,运动潮奢,zhaomin66,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007194,AOBOCO Amulet Jewelry,LD07244,,AM招商推进,,/,Fashion,/,/,Fashion Accessories,Costume Jewelry & Accessories,许铭楷,T3,7496208423480363423,服饰服配,liyaoyao.y,AM,,张玲,/,/,/,,是,5-已入驻,,,,,,,,7494617661230647632,,,,,,,已填写,,,,,,,,2022-05-01,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_007195,YICHN UU,LD07245,,,,/,Home&Living,/,/,#N/A,/,,T3,7494235548780758409,汽摩工具,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007196,Sonoro kate home,LD07246,,AM招商推进,,/,Home&Living,/,/,Textiles & Soft Furnishings,Bedding and Linens,,T3,7495496709960927433,日用家纺,zhangshiwei.92,AM,,刘雨欣,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007197,Bed Best Furniture,LD07247,,AM招商推进,,/,Home&Living,/,/,Furniture,Indoor Furniture,,T3,7496315453869820862,家具家装,zhulong.zhu,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007198,Mscoco Hair Beauty,LD07248,,,,/,Fashion,/,/,#N/A,/,,#N/A,7496026539266247576,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007199,CandyJoy US,LD07249,,AM招商推进,,/,Beauty&FMCG,/,/,Food & Beverages,Snacks,,T3,7496048947258165874,快消生活,qiulei.0117,AM,,王宁,/,/,/,,是,5-已入驻,Candy Joy欧英,,,,,,,7496313273332893826,,,,,,,已填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007200,Scacto Corset,LD07250,,AM招商推进,fashion自补,/,Fashion,/,/,Womenswear & Underwear,/,邱玺,T3,7494131056229058410,服饰服配,xiechaoquan,AM,,谢冰沁Bibi,促佳集团,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
