LD_002191,Selerb,LD02206,,,,上饶市舟鱼贸易有限公司,Home&Living,HIPO靶向商家,CNOB,Health & Elevated Home,NULL,,T0,7495830746493847597,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002192,Gypsophila Beauty Store,LD02207,必招 7 月,,,深圳利哲化妆品有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Haircare & Styling,,T3,7496036682712910844,快消生活,songli.0901,BD,金慧婷,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002193,BioEmblem,LD02208,,,,深圳市朴顺商务科技有限公司,Home&Living,HIPO靶向商家,CNOB,Health & Elevated Home,Nutrition & Wellness,,T3,7495180348901984966,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002194,ARVIX,LD02209,,,,深圳市硕妙贸易有限公司,Fashion,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",Fitness,,T2,7496186832805268299,运动潮奢,chenwei.003,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002195,Pazearmin Inc,LD02210,,,,威海天权软件股份有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Health & Elevated Home,Nutrition & Wellness,,T2,7496204369659464458,快消生活,zhangguangxin.dennis,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002196,HerAuré Health,LD02211,,AM招商推进,,诸暨市洁洁管道建材经营部,Beauty&FMCG,HIPO靶向商家,CNOB,Health,Nutrition & Wellness,,T3,7496153448015039395,快消生活,qilinyou,AM,,王宁,/,/,/,,是,5-已入驻,HerAuré｜FRFRLCEEQHGC,,,,,,7494718735969388191,,,,,,,,已填写,2026-07-07,3.other,0,0,0,,T0,,,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_002197,BBA BABY,LD02212,,,,BBA BABY（聚合）,Home&Living,HIPO靶向商家,CNOB,"Mom & Babies, Health",/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002198,CareAngela,LD02213,,,,BGK（聚合）,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002199,Coolvita Indonesia,LD02214,,,,coolvita,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002200,Gynable US,LD02215,,,,CozyNest GP Limited,Beauty&FMCG,HIPO靶向商家,CNOB,Health & Elevated Home,/,,T3,7496088549216127344,快消生活,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494215085376767924,,,,,,,7494215085376767924,已填写,2025-10-31,2.hipo,1,1,1,20208.48,T2,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
