LD_002981,JBEXTENSION.GLOBAL,LD03013,,,,上海卡贝莉贸易有限公司,Fashion,HIPO靶向商家,美区T5,Fashion Accessories,NULL,,T0,7494951223562504969,育商,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7494080703146788695,7494080703146788695,,,,,,7494080703146788695,已填写,2025-03-31,2.hipo,1,1,1,104436.86,T4,2021-07-06,1.skm,1,1,1,279842.10,T4,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002982,Baseus-uk,LD03014,,,,深圳市时商创展科技有限公司,3C,HIPO靶向商家,美区T5,Phones & Electronics,NULL,,T0,7494083338982163489,育商,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7495877195342908086,7495877195342908086,,,,,,7495877195342908086,已填写,2024-10-21,1.skm,1,1,1,298.71,T1,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002983,Kismizzle Japan Official,LD03015,,,,中山市信基贸易有限公司,Home&Living,HIPO靶向商家,美区T5,Furniture,NULL,,NULL,7496239653270489636,新开国,chenqing.0918,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002984,SnapFixMate Tools,LD03016,,,,深圳市天顺瑞兴电子科技有限公司,Home&Living,HIPO靶向商家,美区T5,Tools & Hardware,Hand Tools,,T2,7496138139636763489,新开国,chengxiongcai.1,,,,/,/,/,,是,5-已入驻,,,,,,,,7496138139636763489,,,,,,7496138139636763489,已填写,,,,,,,,2025-04-03,2.hipo,1,1,1,15427.27,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002985,BOVEY BEAUTY HUB,LD03017,,,,霖言跨境电商（深圳）有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,NULL,,NULL,7494111518440064613,新开国,zhujiayi.chris,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002986,Ancel Tool Store,LD03018,,,,深圳煜晨电子有限公司,Home&Living,HIPO靶向商家,美区T4,Automotive & Motorcycle,Car Repair Tools,,T1,7496161936063630160,新开国,yangkangkang.231,,,,/,/,/,,是,5-已入驻,,,,,,,,7496161936063630160,,,,,,7496161936063630160,已填写,,,,,,,,2025-04-25,2.hipo,1,1,1,150.97,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002987,YUGURE.,LD03019,,,,东莞市君禾网络科技有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,NULL,,NULL,7496289948840791028,新开国,chenqing.0918,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002988,creativegoods,LD03020,,,,厦门欣维发电子商务有限公司,Fashion,HIPO靶向商家,美区T5,Luggage & Bags,NULL,,T0,7494083298379138262,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494083298379138262,,,,,,7494083298379138262,已填写,,,,,,,,2021-08-17,2.hipo,0,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_002989,Namiya General shops,LD03021,,,,深圳市天顺瑞兴电子科技有限公司,Home&Living,HIPO靶向商家,美区T5,Tools & Hardware,NULL,,NULL,7496202334405495239,新开国,langzihan.99,,,,/,/,/,,是,5-已入驻,,,,,,,,7496138139636763489,,,,,,7496138139636763489,已填写,,,,,,,,2025-04-03,2.hipo,1,1,1,15427.27,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002990,COLMI Smart Wearable Store,LD03022,,,,深圳市汉瑞通科技有限公司,3C,HIPO靶向商家,美区T4,Phones & Electronics,NULL,,NULL,7496219572463897120,新开国,tangwei.012,,,,/,/,/,,是,5-已入驻,,,,,,,,7496267716124773137,,,,,,7496267716124773137,已填写,,,,,,,,2025-07-08,2.hipo,1,1,1,83830.29,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
