LD_008131,FreshFit,LD08181,,,fashion自补,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7494416342642230773,服饰服配,NULL,,,谢冰沁Bibi,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008132,New Home Force,LD08182,,,,/,Home&Living,/,/,Furniture,Outdoor Furniture,,T4,7496094850628094718,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008133,Relife Sports,LD08183,,,,/,Fashion,/,/,Sports & Outdoor,/,,T3,7495168244620363805,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494215002151027980,,,,,,,7494215002151027980,已填写,2026-04-17,2.hipo,1,1,1,57.39,T1,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008134,Nioenpt,LD08184,,,fashion自补,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7495739311290026975,服饰服配,NULL,,,Millie Cheng,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008135,RENPHO,LD08185,,,,/,3C,/,/,Health,/,,T3,7494964045755353648,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496106652137982203,7496106652137982203,,,,,,7496106652137982203,已填写,2025-04-22,2.hipo,1,1,1,2991.69,T1,2025-03-04,1.skm,1,1,1,1616.05,T1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008136,Segrass,LD08186,,,,/,Home&Living,/,/,Home Improvement,Lights & Lighting,,T3,7496106796346870330,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008137,TMWINGS,LD08187,,,,/,3C,/,/,Household Appliances,Home Appliances,,T4,7495805441348897258,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008138,Sport Partner,LD08188,,,,/,Fashion,/,/,Sports & Outdoor,Leisure & Outdoor Recreation Equipment,,T3,7496080310939060889,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008139,Radiaint#,LD08189,,,,/,Home&Living,/,/,Tools & Hardware,Hand Tools,,T3,7496304223444961748,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008140,NY Shoes,LD08190,,,,/,Fashion,/,/,Shoes,/,,T3,7494237208030840071,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
