LD_001851,Difo Indonesia,LD01858,,,,广州世医生物科技有限公司-CNOB,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001852,SADOER Personal care,LD01859,,,,广州夏国贸易有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001853,ApexFlow SG,LD01860,,,,杭州虎山行电子商务有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001854,Tencoco Store,LD01861,,AM招商推进,,杭州九多米科技有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,Nail Care,,T3,7496275697367157124,快消生活,songli.0901,AM,,俞欣洁,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001855,ThaiSmile shop,LD01862,,,,龙岩市新罗区依善铭电子商务有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001856,POIFAD,LD01863,,,,跑量众创,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001857,TQIGWRB,LD01864,,,,莆田市奕杰贸易有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Personal Care & Life,Nail Care,,T2,7496265318974982824,快消生活,wanghuarong.925,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001858,ZdeerHealth,LD01865,,,,深圳左点科技有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,"Beauty, Food & Beverage",/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001859,CrownCare.id,LD01866,,,,武汉牧海农业机械有限责任公司,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001860,Healspot Food,LD01867,,AM招商推进,,香港蔚昉有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Food & Beverages,Pantry Food,,T3,7496236789000735408,快消生活,zhangguangxin.dennis,AM,,欧阳嘉桦,/,/,洪波,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
