LD_001221,glerc,LD01223,,,,/,Fashion,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Sports & Outdoor,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001222,m&sense,LD01224,,,,/,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Home Supplies,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001223,Nebula,LD01225,,,,/,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Phones & Electronics,NULL,,T0,7495813463264495789,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494386400800704475,,,,,,7494386400800704475,已填写,,,,,,,,2026-01-27,3.other,1,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_001224,Maxmass,LD01226,,,,/,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Toys & Hobbies,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001225,oneisall,LD01227,,,,深圳本分电子商务有限公司,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Pet Supplies,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496124086977464715,7496124086977464715,,,,,,7496124086977464715,已填写,2025-03-29,1.skm,1,1,1,33882.13,T3,2025-03-25,1.skm,1,1,1,423.14,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001226,IQinox,LD01228,,,,/,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Kitchenware,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001227,Bonnlo,LD01229,,,,LILANG LIMITED,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Furniture,Commercial Furniture,,T3,7496210775853534197,新开国,tangwei.012,,,,/,/,/,,是,5-已入驻,,,,,,,7496282198472296981,,,,,,,7496282198472296981,已填写,2025-07-22,2.hipo,1,1,1,23746.15,T2,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001228,ARZOPA,LD01230,,,,深圳市南青雁电子商务有限公司,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Phones & Electronics,/,,#N/A,7495363494241470886,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496259397162273767,,,,,,,7496259397162273767,已填写,2025-07-03,1.skm,1,1,1,41761.22,T3,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001229,poseca,LD01231,,,,/,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Pet Supplies,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001230,zuimei,LD01232,,,,浦江县沃少电子商务有限公司,Fashion,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Sports & Outdoor,NULL,,T0,7494569813919959482,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494569813919959482,,,,,,7494569813919959482,已填写,,,,,,,,2022-03-31,1.skm,0,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
