LD_008091,Carote Brand Store,LD08141,,,,/,Home&Living,/,/,Kitchenware,Cookware,,T5,7495695322344622317,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008092,Petramrs,LD08142,,,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Makeup,,T2,7494364776742684491,快消生活,nicole.899,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008093,MuMu Boutique,LD08143,,,,/,/,/,/,Home Supplies,/,,T3,7494294811262224380,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008094,GlobeEase,LD08144,,,,/,Fashion,/,/,Menswear & Underwear,/,,T3,7496239848018709196,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496239848018709196,7496239848018709196,,,,,,7496239848018709196,已填写,2025-11-26,2.hipo,1,1,1,6003.69,T2,2025-11-26,2.hipo,1,1,1,74995.66,T3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008095,52TOYS US SHOP,LD08145,,,,/,Beauty&FMCG,/,/,Toys & Hobbies,Classic & Novelty Toys,,T2,7496081582420560072,快消生活,liushanyu.0213,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008096,Gopune,LD08146,,,,/,Fashion,/,/,Menswear & Underwear,/,,T3,7495464758604827230,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7495464758604827230,7495464758604827230,,,,,,7495464758604827230,已填写,2025-04-21,2.hipo,1,0,0,0.00,T0,2025-03-21,2.hipo,1,1,1,69.02,T1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_008097,YND Suits,LD08147,,AM招商推进,fashion自补,/,Fashion,/,/,Menswear & Underwear,/,黄嘉伟,T3,7495496838559992053,服饰服配,linyangqin.cyrus7,AM,,罗才鑫,/,/,/,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_008098,Beetles Nail Boutique,LD08148,必招 7 月,,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Nail Care,,T4,7495998830785301009,快消生活,qilinyou,BD,赵月晨,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008099,Raw Trails,LD08149,,,,/,Home&Living,/,/,Sports & Outdoor,/,,T3,7494587643015955572,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008100,OGHom US,LD08150,,,,/,3C,/,/,Household Appliances,/,,T3,7495314665977907277,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
