LD_002121,Onenjoyfashion,LD02136,,,,湄潭大业农农牧科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002122,"Moulai Co., Ltd",LD02137,,AM招商推进,fashion自补,南京德之道环保科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,赵亭,/,7496086051102951856,运动潮奢,chenwei.003,AM,,张玲,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002123,AddWin Shop,LD02138,,,,纳氪贸易（永康）有限公司,Fashion,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",/,,T5,7495998027863787893,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7495998027863787893,,,,,,7495998027863787893,已填写,,,,,,,,2026-06-23,2.hipo,1,1,0,192.93,T1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
LD_002124,ORVEL GEMS,LD02139,,,,宁波浩浩机械科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Non-natural Crystal,,T2,7495764571160349344,运动潮奢,hsinyi.7,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002125,AISOM WIG,LD02140,,,,青岛爱尚美发制品有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,T4,7495144543584225585,服饰服配,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,7494228825613370665,,,,,,7494228825613370665,已填写,,,,,,,,2025-10-31,2.hipo,1,0,0,0.00,T0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_002126,WeaveMist,LD02141,,,,青岛易路通科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Costume Jewelry & Accessories,,T1,7494165860288070705,服饰服配,liyaoyao.y,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002127,FADFAD Indonesia,LD02142,,,,奇米,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002128,YTAT SHOE,LD02143,,,,泉州市梦尊贸易有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002129,ARCTITAN,LD02144,,,,泉州市泉港区南埔镇肖美盛百货零售超市(个体工商户),Fashion,HIPO靶向商家,CNOB,Fashion,NULL,,NULL,7494478682512786512,育商,lihaiqing,,,,/,/,/,,是,1-待触达,,,,,,,,7494195840129008684,,,,,,7494195840129008684,已填写,,,,,,,,2025-10-11,3.other,1,1,1,4863.94,T2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002130,uru underwear,LD02145,,,,上海晨曦未来国际贸易有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
