LD_001981,Soffiya Tech,LD01994,,,,广州飞扬市场营销策划有限公司-CNOB,3C,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001982,KY Tech,LD01995,,,,香港余音國際有限公司,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_001983,SouthOcean,LD01996,,,,颜值立方,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001984,Orashare PH,LD01997,,,,宜百佳(济南)供应链管理有限公司,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001985,Aoran Kitchen Appliances,LD01998,,,,永康市科悦家居用品有限公司,3C,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",/,,T4,7496144839337675049,3C,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,7494133756262450750,7494133756262450750,,,,,,7494133756262450750,已填写,2025-09-07,2.hipo,0,0,1,0.00,T0,,,,,,,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_001986,ULucky Vietnam,LD01999,,,,有幸健康（香港）有限公司,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001987,Philipswater TH,LD02000,,,,优乐集团,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001988,ATTA-jewelry,LD02001,,,,南通坤仕建筑劳务有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,T4,7495305844522322781,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7495335023523826050,,,,,,,7495335023523826050,已填写,2025-04-30,2.hipo,1,0,0,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_001989,BAMBOOCOOL,LD02002,,AM招商推进,,南通竹惠纺织有限公司,Fashion,HIPO靶向商家,CNOB,Menswear & Underwear,Men's Underwear & Socks,蔡喜花,T4,7495911200711477701,服饰服配,liyawen.7ll,AM,,罗才鑫,/,/,/,,是,5-已入驻,,,,,,,,7495911200711477701,,,,,,,已填写,,,,,,,,2026-06-30,2.hipo,1,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_001990,CICI GEMS,LD02003,,,,宁波鹄望科技有限公司-CNOB,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
