LD_002101,Beadora & Pearl.,LD02116,,,,杭州圣耘科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion Non-Apparel,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002102,Anrabess Fashion,LD02117,,AM招商推进,,恒利得（集合）,Fashion,HIPO靶向商家,CNOB,Womenswear & Underwear,Women's Tops,刘梦洁,T5,7495434645551745353,服饰服配,cicigao,AM,,谢冰沁Bibi,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002103,showreal human hair,LD02118,,,,河南疯向标跨境电商有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002104,XSY Hair Store,LD02119,,,,河南新硕源工艺品有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Hair Extensions & Wigs,,T2,7495822258927929472,育商,xuhanwen.19,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002105,Comet Angel TH,LD02120,,,,彗星(广州)内衣科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002106,OLEVS watch one,LD02121,,,,惠州市兴启翼科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,T3,7495451123444452284,服饰服配,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,7496099943574047378,7496099943574047378,,,,,,7496099943574047378,已填写,,3.other,0,0,0,,T0,2025-02-25,1.skm,1,1,1,528.25,T1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002107,RuiOne Lingerie,LD02122,,,,惠州市熊尾巴网络科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion Apparel,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002108,Moissan Star,LD02123,,,,Cranberry-CNOB,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002109,Dalwa ID,LD02124,,,,湖北华盈生物科技股份有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002110,OCKIS-Underwear,LD02125,,,,护目之光(成都)科技有限公司-CNOB,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
