LD_002731,Audio Oasis Store,LD02761,,,,深圳市婳雅科技有限公司,3C,HIPO靶向商家,美区T4,Phones & Electronics,/,,#N/A,7495831763227412701,NULL,NULL,,,,/,/,/,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002732,N N Z,LD02762,,AM招商推进,,"HLT Trading co.,Limited",Home&Living,HIPO靶向商家,美区T4,Kitchenware,Kitchen Utensils & Gadgets,,T4,7496063134463789341,日用家纺,gongxun.chandler,AM,,刘雨欣,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002733,BIOHEAL BOH,LD02763,,AM招商推进,,CJ Olive Young Corporation,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Skincare,,T5,7496153453575899446,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002734,Paslda Ebike,LD02764,,,,INFOTECH MARKETING INC,Home&Living,HIPO靶向商家,美区T4,Automotive & Motorcycle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002735,pearlismjewel,LD02765,必招 7 月,AM招商推进,fashion自补,"DLABX CO., LIMITED",Fashion,HIPO靶向商家,美区T4,Jewelry Accessories & Derivatives,Pearl,卢维仰,T5,7496030182441585510,运动潮奢,yanbailu,AM/BD,赵月晨,郭晓彤,沟通中,/,/,,是,5-已入驻,,,,,,,7496150551034563452,7496150551034563452,,,,,,"7496150551034563452,7496167003213629890",已填写,,,,,,,,2025-04-28,2.hipo,1,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002736,Safring,LD02766,,AM招商推进,,深圳市中昱丰科技有限公司,3C,HIPO靶向商家,美区T4,Phones & Electronics,Audio & Video,,T3,7496272964353690326,3C,wanglizhen.321,AM,,文思琪,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002737,The Blanket Home,LD02767,,,,WIDE TRADING (HK) LIMITED,Home&Living,HIPO靶向商家,美区T4,Textiles & Soft Furnishings,NULL,,T0,7496311260051245499,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002738,Epicuria,LD02768,,,,YANZHAO TAN LIMITED Colorado Corporation,Home&Living,HIPO靶向商家,美区T4,Kitchenware,Cutlery & Tableware,,T1,7496094919702317480,日用家纺,chenyufei.0628,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002739,Love U Gift,LD02769,,AM招商推进,fashion自补,LIANCHENG INTERNATIONAL TRADE INC,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,/,,T3,7495335356599732665,服饰服配,liyaoyao.y,AM,,张玲,深圳酷播,/,/,,是,4-入驻中,,,,,,,,,,,,,,7494327799195993702,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_002740,Luoika shoes,LD02770,,AM招商推进,,温州润子语网络科技有限公司,Fashion,HIPO靶向商家,美区T4,Shoes,Women's Shoes,,T3,7495761376187419561,运动潮奢,jianglin.jessica,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
