LD_003781,haloumoning,LD03822,,,,杭州籽轩贸易有限公司,Fashion,HIPO靶向商家,P2 - Whitelabel - AMZ,Kids' Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003782,elegancity,LD03823,,,,丰泽区简泽服饰网店,Fashion,HIPO靶向商家,P2 - Whitelabel - AMZ,Menswear & Underwear,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003783,rolipo,LD03824,,,,WIK AISEO MIXT S.R.L.,3C,HIPO靶向商家,P2 - Whitelabel - AMZ,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003784,riovarm,LD03825,,,,浙江泰美工贸股份有限公司,Home&Living,HIPO靶向商家,P2 - Whitelabel - AMZ,Kitchenware,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003785,avantek,LD03826,,,,深圳市亿诚纳科技有限公司,Home&Living,HIPO靶向商家,P2 - Whitelabel - AMZ,Tools & Hardware,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003786,pesonlook,LD03827,,,,河南帕绅电子商务有限公司,Home&Living,HIPO靶向商家,P2 - Whitelabel - AMZ,Textiles & Soft Furnishings,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496153480878721984,7496153480878721984,,,,,,7496153480878721984,已填写,2025-11-18,3.other,1,1,1,0.00,T0,,3.other,0,0,0,,T0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_003787,hoomil,LD03828,,,,惠州市锦绣电子商务有限公司,3C,HIPO靶向商家,P2 - Whitelabel - AMZ,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003788,neu master,LD03829,,,,斯巴达工具（深圳）有限公司,Home&Living,HIPO靶向商家,P2 - Whitelabel - AMZ,Tools & Hardware,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003789,maxlegen,LD03830,,,,Kazmitelecom OU,3C,HIPO靶向商家,P2 - Whitelabel - AMZ,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003790,lalago,LD03831,,,,深圳市翊购科技有限公司,Home&Living,HIPO靶向商家,P2 - Whitelabel - AMZ,Home Supplies,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
