LD_002621,Hrvsta Natural Care,LD02649,,AM招商推进,,深圳市香水贸易有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Health,Nutrition & Wellness,,T4,7495896756799441531,快消生活,zhangguangxin.dennis,AM,,王宁,/,/,/,,是,4-入驻中,"极乐鸟生物科技->UK直邮, 极乐鸟-欧洲沟通",,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_002622,VagascapeUS,LD02650,,,,杭州重耀进出口有限责任公司,Beauty&FMCG,HIPO靶向商家,美区T4,Pet Supplies,/,,T3,7496081682593187857,快消生活,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7496204399374731416,,,,,,7496204399374731416,已填写,,,,,,,,2025-05-23,2.hipo,0,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_002623,COSORI Kitchen,LD02651,,AM招商推进,,AROVAST CORPORATION,3C,HIPO靶向商家,美区T4,Household Appliances,Kitchen Appliances,,T5,7495198387436423814,3C,zhangwenli.168,AM,,郑羽伶,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002624,UOOZEE USA,LD02652,,,,GALAXY EXCEED TECHNOLOGY DEVELOPMENT COMPANY LIMITED,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Tops,,T2,7496131318900099889,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7496131318900099889,,,,,,7496131318900099889,已填写,,,,,,,,2025-03-28,2.hipo,1,1,1,23012.44,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002625,Bloom Nest Home,LD02653,,,,赤壁市晨坡岚贸易有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,Festive & Party Supplies,,T2,7496241405188737808,日用家纺,zhongjie.ma,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002626,INFINITE USMO,LD02654,必招 7 月,,,Creative Engine (International) Group Limited,3C,HIPO靶向商家,美区T4,NULL,NULL,,T3,7496262949119560555,3C,wanglizhen.321,BD,李泽,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002627,Redragon Store,LD02655,,,,LTC NETWORKING LIMITED,3C,HIPO靶向商家,美区T4,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496144873390835840,7496144873390835840,,,,,,7496144873390835840,已填写,2025-04-11,1.skm,1,1,1,2365.45,T1,2025-04-24,1.skm,1,0,0,,T0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002628,HelmsmanCrystal.Factory,LD02656,,AM招商推进,fashion自补,苏州舵手水晶有限公司,Fashion,HIPO靶向商家,美区T4,Jewelry Accessories & Derivatives,/,,T3,7495031878330714825,运动潮奢,yanbailu,AM,,郭晓彤,飞书群,/,/,,否,1-待触达,,,,,,,,,,,,,,7494668323105769989,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002629,HomeGadget Depot,LD02657,,AM招商推进,,河南康聪国际贸易有限公司,3C,HIPO靶向商家,美区T4,Household Appliances,Kitchen Appliances,,T4,7496314189601999779,3C,patonlam,AM,,张莞清,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002630,QueenAndKing.Home,LD02658,,,,济南金装装饰工程有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7494113648487401173,,,,,,,7494113648487401173,已填写,2025-08-29,2.hipo,1,1,1,33609.49,T3,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
