LD_007221,Oganacell Store US,LD07271,,AM招商推进,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Skincare,,T3,7496114058180594622,快消生活,wanghuarong.925,AM,,陈杏妹,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007222,YoungSa,LD07272,,AM招商推进,,/,3C,/,/,Home Improvement,Garden Supplies,,T3,7496103274503048067,3C,kunyuanchen,AM,,胡思倩,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007223,SANDJEST,LD07273,,AM招商推进,,/,Home&Living,/,/,Kitchenware,Drinkware,,T3,7494205192926889457,家具家装,yinyaxing,AM,,郎子涵,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007224,ReminiscenceSpark,LD07274,,AM招商推进,,/,Fashion,/,/,Sports & Outdoor,Sports & Outdoor Accessories,,T3,7494213996225922554,运动潮奢,liziyin.plumlee,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007225,GHQ,LD07275,,AM招商推进,,/,Home&Living,/,/,Kitchenware,Kitchen Utensils & Gadgets,,T3,7494109669963039771,日用家纺,lishiyun.607,AM,,刘雨欣,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007226,Yaiseiko Lashes,LD07276,,AM招商推进,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Makeup,,T3,7494251900661302763,快消生活,liuburong.emma,AM,,陈杏妹,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007227,FANJUN-PETHOUSE-M,LD07277,,AM招商推进,,/,Beauty&FMCG,/,/,Pet Supplies,Dog & Cat Furniture,,T3,7494195681615775185,快消生活,haoyemeng.ian,AM,,陈杏妹,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007228,FUSHITON Home,LD07278,,AM招商推进,,/,Home&Living,/,/,Home Supplies,Home Organizers,,T3,7495793887880186833,日用家纺,wangchangli,AM,,刘雨欣,/,/,/,,是,3-商家有意愿,FUSHITON英欧互通入驻保障群,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007229,Peicheng Tech,LD07279,,AM招商推进,,/,3C,/,/,Phones & Electronics,Phones & Tablets,,T3,7496223451833862515,3C,huanghaoxuan.123,AM,,文思琪,已联系美区am拉群，但未回复,/,/,,是,1-待触达,,,,,,,,7494654638581843062,,,,,,,已填写,,,,,,,,2026-05-18,3.other,1,0,0,,T0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_007230,EcoChiFind US,LD07280,,AM招商推进,,/,3C,/,/,Beauty & Personal Care,Personal Care Appliances,,T3,7496089667131313100,3C,patonlam,AM,,张莞清,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
