LD_006221,Popilush Soft,LD06269,必招 7 月,,,/,Fashion,/,/,Womenswear & Underwear,Women's Underwear,,T3,7495748932557114239,服饰服配,liyawen.7ll,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7496114102056552632,7496114102056552632,,,,,,7496114102056552632,已填写,,,,,,,,2025-03-11,1.skm,1,1,1,69287.18,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006222,WristArt,LD06270,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T2,7494475454947755095,服饰服配,wangrui.wil,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006223,jucup,LD06271,必招 7 月,,,/,Fashion,/,/,Collectibles,Cultural Items,,T3,7494634236072658764,运动潮奢,yanbailu,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006224,Lotus Teaware Co,LD06272,必招 7 月,,,/,Home&Living,/,/,#N/A,Cultural Items,,T1,7494291040579847169,育商,xuhanwen.19,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006225,Celadon Realm,LD06273,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T1,7494606796044339128,运动潮奢,yanbailu,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006226,MILKYHEART LLC,LD06274,必招 7 月,,,/,Beauty&FMCG,/,/,#N/A,Makeup,,T1,7494611512932009087,育商,xuhanwen.19,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006227,BOTONG,LD06275,必招 7 月,,,/,Fashion,/,/,#N/A,Natural Crystal,,T0,7495489162245146982,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006228,LuxeLoop GlamNest Shop,LD06276,必招 7 月,AM招商推进,fashion自补,/,Fashion,/,/,Jewelry Accessories & Derivatives,Artificial Gemstones,,T3,7494571461873075643,运动潮奢,tangmengze,AM/BD,李京达,郭晓彤,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006229,Cute CurveS,LD06277,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T2,7494635905195083764,育商,xuhanwen.19,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006230,XINEV,LD06278,必招 7 月,,,/,Fashion,/,/,Fashion Accessories,Costume Jewelry & Accessories,,T0,7496190429512960257,服饰服配,xuli.henk,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
