LD_002661,Judydoll US,LD02689,必招 7 月,,,橘宜控股香港有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,Makeup,,T4,7495819161898945041,快消生活,wanghuarong.925,BD,金慧婷,,/,/,/,,是,5-已入驻,,,,,,,7494117966183302447,7494117928002488047,,,,,,,已填写,2025-09-01,2.hipo,1,0,0,0.00,T0,2025-09-01,2.hipo,1,1,1,102.59,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002662,777Collect,LD02690,,,,Starpony (HK) Limited,Fashion,HIPO靶向商家,美区T4,Collectibles,/,,T4,7496293541370038443,运动潮奢,NULL,,,,/,/,/,,是,3-商家有意愿,,,,,,,7496287866802899128,7496287866802899128,,,,,,7496287866802899128,已填写,2025-07-29,2.hipo,1,1,1,0.00,T0,2025-07-29,2.hipo,0,0,0,0.00,T0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002663,ali coco,LD02691,,AM招商推进,,许昌珍娜贸易有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Hair Extensions & Wigs,赵亭,T3,7495975719767672844,服饰服配,weiyue.0123,AM,,郭晓彤,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002664,Realife Shop,LD02692,,,,"Hong Kong Ruihuatai Trading Co., Limited",Home&Living,HIPO靶向商家,美区T4,Home Supplies,/,,T5,7494210607105344671,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494418471383762348,,,,,,7494418471383762348,已填写,,,,,,,,2026-02-11,2.hipo,1,1,1,,T0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002665,LINTNIPIECD,LD02693,,,,海口曦姿瑜商贸有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Costume Jewelry & Accessories,,T2,7496243921497328424,服饰服配,liyaoyao.y,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002666,IG Crystal,LD02694,必招 7 月,,,惠州市一心石缘工艺品有限公司,Fashion,HIPO靶向商家,美区T4,Jewelry Accessories & Derivatives,Natural Crystal,,T4,7495299244738250879,新开国,yanbailu,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7495299244738250879,7495299244738250879,,,,,,7495299244738250879,已填写,,,,,,,,2026-07-10,3.other,1,0,,,T0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_002667,Funny Blanket,LD02695,,,,KINGS GLOBAL TRADING LIMITED,Home&Living,HIPO靶向商家,美区T4,Textiles & Soft Furnishings,Bedding and Linens,,T2,7495828607135680627,日用家纺,yangli.lee,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002668,Yuu Liuo,LD02696,,,,"JunSure Trading Co., Limited",3C,HIPO靶向商家,美区T4,Computers & Office Equipment,Mobile Phone Accessories,,T1,7495997924054698213,3C,zhuxiaoyi.suki,,,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002669,Jupix,LD02697,,,,Hi SeaClear Trade Co Limited,Home&Living,HIPO靶向商家,美区T4,Toys & Hobbies,NULL,,T0,7494216649143846278,快消生活,wangzhen.chris,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002670,Selerb Nutrition,LD02698,,AM招商推进,,Selerb Health Corp,Beauty&FMCG,HIPO靶向商家,美区T4,Health,Nutrition & Wellness,,T4,7495976587262331879,快消生活,qilinyou,AM,,王宁,/,/,/,,是,5-已入驻,Selerb UK,,,,,,,7494723657596962339,,,,,,,已填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
