LD_006131,三星、小米、华为、XBOX、安克、JBL、任天堂、大疆等,LD06179,必招 7 月,,,朝宗,3C,战略重点商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,陈总 CEO,/,深圳龙华,,是,5-已入驻,,,,,,,,7494753949833266753,,,,,,,已填写,,,,,,,,2026-07-21,3.other,1,0,,,T0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1
LD_006132,任天堂、XBOX、Sony,LD06180,必招 7 月,,,PLAYZONE,3C,HIPO靶向商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,Steve许 跨境负责人,/,深圳龙华,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_006133,3C全品牌,LD06181,必招 7 月,,,能良香港,3C,战略重点商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,/,/,香港,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_006134,3C全品牌,LD06182,必招 7 月,,,天音香港,3C,战略重点商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,周总 跨境负责人,/,深圳罗湖,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_006135,realme、OPPO、Oneplus、JisuLife等,LD06183,必招 7 月,,,润拓,3C,战略重点商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,Hero 业务负责人,/,深圳南山,,是,5-已入驻,,,,,,,7494740826329220395,7494740826329220395,,,,,,7494740826329220395,已填写,2026-07-03,3.other,1,0,,,T0,,,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_006136,飞利浦、传音、联想、Realme、安克,LD06184,必招 7 月,,,水林派,3C,HIPO靶向商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,Stephen CEO,/,广州番禺,,是,5-已入驻,,,,,,,7494788158598252452,,,,,,,,已填写,2026-07-21,3.other,1,0,,,T0,,,,,,,,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1
LD_006137,小米、荣耀,LD06185,必招 7 月,,,德润,3C,HIPO靶向商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,孔总 CEO,/,山东烟台,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_006138,JBL、任天堂、小米、三星等,LD06186,必招 7 月,,,石岩,3C,战略重点商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,石总 CEO,/,北京朝阳,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_006139,任天堂、小米、荣耀、Google等,LD06187,必招 7 月,,,古丽霞,3C,HIPO靶向商家,A. 知名品牌｜Recognized Brands,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,古总 CEO,/,深圳龙华,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006140,酷比魔方,LD06188,必招 7 月,,,酷比魔方,3C,HIPO靶向商家,Amazon/DTC 年GMV＞$730K,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,吴总 CEO,/,深圳北站,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
