LD_006061,Rumi Life,LD06109,,,,Rumi Life,/,/,/,#N/A,Entertainment,,T0,7495137036850006928,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006062,aaa,LD06110,,,,aaa,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006063,梵芙尼护肤,LD06111,,,,梵芙尼护肤,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006064,AOKA,LD06112,,,,Aoka Trading Limited,Home&Living,HIPO靶向商家,Amazon/DTC 年GMV＞$730K,#N/A,/,,,NULL,NULL,NULL,BD,夏春雨,,Cris,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_006065,WEALLIN PET,LD06113,,,,星翠光贸易,Beauty&FMCG,HIPO靶向商家,Amazon/DTC 年GMV＞$730K,#N/A,NULL,,T0,7494658780292875556,新开国,tangwei.012,BD,江家徵,,Terry,/,/,,是,5-已入驻,,,,,,,,7494658780292875556,,,,,,7494658780292875556,已填写,,,,,,,,2026-05-21,2.hipo,1,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_006066,杭州棠联科技有限公司,LD06114,,,,杭州棠联科技有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006067,南昌跨境科技有限公司,LD06115,,,,南昌跨境科技有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006068,义乌弘本,LD06116,,,,义乌弘本,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006069,杭州摊牌科技有限公司,LD06117,,,,杭州摊牌科技有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006070,宁波美鹰家居集团有限公司,LD06118,,,,宁波美鹰家居集团有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
