LD_008041,WDCOZY,LD08091,,,,/,Home&Living,/,/,Textiles & Soft Furnishings,/,,T3,7494454538498377038,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008042,SOULYIS-US,LD08092,,,,/,Fashion,/,/,Sports & Outdoor,Fitness,,T3,7496219577801739022,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008043,MOVA USA Official,LD08093,,,,/,3C,/,/,Household Appliances,/,,T3,7496029992099678354,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008044,Shadowul TShirt,LD08094,,AM招商推进,fashion自补,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7496221149124528836,育商,xuhanwen.19,AM,,谢冰沁Bibi,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008045,Osawalla,LD08095,,,,/,3C,/,/,Phones & Electronics,Smart & Wearable Devices,,T3,7495896824429972393,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008046,Vipfree Home us,LD08096,,,,/,Home&Living,/,/,Textiles & Soft Furnishings,Bedding and Linens,,T3,7496086012204780181,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008047,TechWorld.US,LD08097,,,,/,3C,/,/,Phones & Electronics,Mobile Phone Accessories,,T3,7496279169336576273,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008048,Hibloks Smart Glasses,LD08098,,,,/,/,/,/,Phones & Electronics,/,,T3,7494475447590684453,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008049,LOFREE Official,LD08099,,,,/,3C,/,/,Computers & Office Equipment,/,,T3,7495837556727450451,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008050,MFVIM,LD08100,,,,/,Fashion,/,/,Sports & Outdoor,/,,T3,7496125096986576919,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7496258928625682774,,,,,,7496258928625682774,已填写,,,,,,,,2025-07-04,2.hipo,1,1,1,37158.54,T3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
