LD_005951,SQTT-Bag,LD05993,,,,厦门花芽品牌管理有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,/,,#N/A,7494367079207372471,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005952,Chic Pigment,LD05994,,,,HK AOLIDA TRADING LIMITED,Home&Living,HIPO靶向商家,美区T4,Toys & Hobbies,NULL,,T0,7494228219561018550,3C,panzimo.666,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005953,Yonique,LD05995,,AM招商推进,,深圳智石贸易有限公司,Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,"Swimwear, Surfwear & Wetsuits",黄嘉伟,T4,7495467904428378724,运动潮奢,qieyixiao,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005954,Ctolity Factory,LD05996,,AM招商推进,,深圳市成拓国际科技有限公司,3C,HIPO靶向商家,美区T4,Phones & Electronics,Mobile Phone Accessories,,T4,7496115999829887948,3C,zengjing.9712,AM,,文思琪,"7.3日已发消息，美区am已读不回；
7.13再次触达",/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005955,DWH-HoMi,LD05997,,AM招商推进,,郑州跃铖电子商务有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,Indoor Furniture,,T4,7496166521904793629,家具家装,cainan,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005956,Trusted Choice Emporium,LD05998,,AM招商推进,fashion自补,沈阳含彦婉商贸有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Eyewear,彭之茂,T3,7494117985331677137,育商,xuhanwen.19,AM,,郭晓彤,/,/,/,,是,5-已入驻,,,,,,,7494584849412556657,,,,,,,,已填写,2026-04-15,3.other,1,0,0,,T0,,,,,,,,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_005957,SleepRest,LD05999,,,,深圳市谐通电子商务有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,Indoor Furniture,,T2,7496243589677877377,家具家装,cainan,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005958,KLSMYHOKI US,LD06000,,,,"JUYUAN TECHNOLOGY CO . , LIMITED",3C,HIPO靶向商家,美区T4,Phones & Electronics,/,,T4,7495369409107364558,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496284399301920966,,,,,,,7496284399301920966,已填写,2025-07-19,3.other,1,0,0,0.00,T0,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_005959,Minivana,LD06001,,AM招商推进,,DUNH TS INC,Home&Living,HIPO靶向商家,美区T4,Home Supplies,Home Care Supplies,,T4,7496125285763090616,服饰服配,gaolei.52800,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005960,HOSTACK,LD06002,,AM招商推进,,深圳市宜雅科技有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,Indoor Furniture,,T3,7496012420959668318,家具家装,wangsong.0925,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
