LD_001231,doao,LD01233,,,,/,Beauty&FMCG,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001232,ifitna,LD01234,,,,厦门正德荔羽贸易有限公司,Fashion,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Shoes,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001233,creworks,LD01235,,,,上海事西贸易有限公司,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Household Appliances,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001234,dekopro,LD01236,,AM招商推进,,宁波杰艾动力进出口有限公司,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Tools & Hardware,Power Tools,,T3,7495902663605455658,汽摩工具,xuyanyun,AM,,周羽中 Ray,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001235,rockbros,LD01237,,,,/,Fashion,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Sports & Outdoor,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494568709580948698,,,,,,7494568709580948698,已填写,,,,,,,,2026-04-08,1.skm,1,1,1,2431.68,T1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_001236,purrjoys,LD01238,,,,/,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Textiles & Soft Furnishings,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001237,SMOTURE,LD01239,,,,深圳市和轩宏才科技有限公司,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Household Appliances,NULL,,T0,7494669095970702855,汽摩工具,doyleyang.yt,,,,/,/,/,,是,5-已入驻,,,,,,,7494570602801301371,,,,,,,7494570602801301371,已填写,2026-04-09,1.skm,1,1,1,1658.71,T1,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001238,swomog,LD01240,,,,深圳市百思特服装经营店,Fashion,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Womenswear & Underwear,/,,,NULL,NULL,NULL,,,,/,/,/,,是,4-入驻中,,,,,,,7495839914991520041,,,,,,,7495839914991520041,已填写,2026-05-12,3.other,1,0,0,,T0,,,,,,,,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
LD_001239,elailite,LD01241,,,,广州涵平贸易有限公司,Fashion,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Fashion Accessories,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7496139246519093579,,,,,,7496139246519093579,已填写,,,,,,,,2025-04-03,1.skm,1,1,1,52682.67,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001240,fullstar,LD01242,,,,/,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Kitchenware,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
