LD_002541,Suifeng Home Textile,LD02560,,,,鄂尔多斯市华翔再生资源综合利用有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Living,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002542,Twirest mattress,LD02561,,,,佛山市尧伶电子商务有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Living,Indoor Furniture,,T4,7496043272283130552,NULL,NULL,,,,/,/,/,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002543,GTPlayer Shop,LD02562,,,,福建省纵为半导体有限公司-CNOB,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,#N/A,7496062913201081035,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7495385524131171297,7495385524131171297,,,,,,7495385524131171297,已填写,2025-04-17,1.skm,0,0,0,,T0,2025-04-18,2.hipo,1,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_002544,Joyreal Toy,LD02563,,,,广州梦希科技有限公司,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Educational Toys,,T3,7496001517683903384,快消生活,liushanyu.0213,,,,/,/,/,,是,1-待触达,,,,,,,7496160320531106542,,,,,,,7496160320531106542,已填写,2025-04-26,1.skm,1,1,1,1513.88,T1,,,,,,,,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002545,Novilla Shop,LD02564,,,,广州市诺维利亚电子商务有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,T45,7496062846381230366,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,7494454471598114675,7494454471598114675,,,,,,7494454471598114675,已填写,2026-04-03,1.skm,1,1,1,0.00,T0,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002546,POPMART US SHOP,LD02565,必招 7 月,,,泡泡玛特,Home&Living,HIPO靶向商家,CNOB,Toys & Hobbies,Classic & Novelty Toys,,T4,7496018615934355819,快消生活,liushanyu.0213,BD,江家徵,,/,/,/,,是,5-已入驻,,,,,,,7494567377378118210,7494567377378118210,,,,,,7494567377378118210,已填写,,,,,,,,2022-04-06,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002547,UnifreeUS,LD02566,,,,unifree,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,/,,T5,NULL,NULL,NULL,BD,夏春雨,,/,/,/,,是,5-已入驻,,,,,,,7496146014335175161,7496146014335175161,,,,,,7496146014335175161,已填写,2025-04-24,2.hipo,1,0,0,,T0,2025-04-17,2.hipo,1,1,1,13939.85,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002548,Pukomc,LD02567,必招 7 月,,,苏三,Home&Living,HIPO靶向商家,CNOB,NULL,NULL,,T0,7495889356959746762,NULL,NULL,BD,赵月晨,,/,/,/,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002549,Lifewit,LD02569,必招 7 月,,,福州市鼓楼区冠码电子产品商行,Home&Living,HIPO靶向商家,CNOB,Home Supplies,Home Organizers,,T4,7494221554945526050,日用家纺,lishiyun.607,BD,江家徵,,老板 - Josie,@Josie,福州,,是,2-已触达/沟通中,,已开本本,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002550,Banggood Store,LD02570,,AM招商推进,,广州彦伶贸易有限公司,Home&Living,HIPO靶向商家,CNOB,Automotive & Motorcycle,Dog & Cat Furniture,,T4,7495961426198956833,日用家纺,zhouxinrui.zz,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
