LD_005911,CozyCove Shop,LD05953,,AM招商推进,,合肥曲苒桐商贸有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,Festive & Party Supplies,,T3,7496189009870948401,日用家纺,gongxun.chandler,AM,,刘雨欣,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005912,GLW Shop,LD05954,,AM招商推进,,海口高罗旺商贸有限公司,Home&Living,HIPO靶向商家,美区T4,Sports & Outdoor,Fitness,,T4,7496224363317201777,运动潮奢,zhuyanan.1202,AM,,周洋,/,/,/,,是,5-已入驻,,,,,,,,7494669495251732174,,,,,,,已填写,,,,,,,,2026-05-28,3.other,1,1,1,461.35,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_005913,Zzw Furniture Store,LD05955,,AM招商推进,,宁波众为进出口有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,Outdoor Furniture,,T4,7495811402369173823,家具家装,pengqi.lovework,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005914,Huusk,LD05956,,AM招商推进,,REVEAL KEESTONE INC,Home&Living,HIPO靶向商家,美区T4,Kitchenware,Kitchen Knives,,T3,7495209447006833176,日用家纺,zhouxinrui.zz,AM,,刘雨欣,,/,/,,是,2-已触达/沟通中,美英欧生意共建入驻意向沟通-AM【xinrui&yuxin】,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005915,Uhair US,LD05957,,AM招商推进,,UHAIR INC,Home&Living,HIPO靶向商家,美区T4,Home Improvement,Garden Supplies,,T4,7495216307307776234,家具家装,xiaoweiye,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005916,zxwytools,LD05958,,,,ZXWY LIMITED,Home&Living,HIPO靶向商家,美区T4,Tools & Hardware,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005917,TopPick Goods,LD05959,,,,武汉市普鸣奥商贸有限公司,Home&Living,HIPO靶向商家,美区T4,Toys & Hobbies,NULL,,T0,7494350512799450958,快消生活,haoyemeng.ian,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005918,LISEN-US,LD05960,,,,深圳市茗康电子商务有限公司,Home&Living,HIPO靶向商家,美区T4,Automotive & Motorcycle,NULL,,NULL,7496287973036427552,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7495602038016740164,7495602038016740164,,,,,,7495602038016740164,已填写,2025-08-06,1.skm,1,1,1,0.00,T0,2024-07-04,3.other,0,0,0,,T0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_005919,ClimbIG,LD05961,,,,石家庄邝凝文化传播有限公司,Fashion,HIPO靶向商家,美区T4,Phones & Electronics,Sports & Outdoor Accessories,,T2,7494207534224344584,3C,kunyuanchen,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005920,EVELLYHOOTD US,LD05962,,,,"Evellyhootd Trading Co., Ltd.",Fashion,HIPO靶向商家,美区T4,Shoes,/,,T4,7495152371049859623,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7495896004666034400,,,,,,,7495896004666034400,已填写,2024-10-24,2.hipo,1,1,1,4761.80,T2,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
