LD_006091,香港嘉衍,LD06139,,,,香港嘉衍,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006092,MoMoAnime UK,LD06140,,,,郑州飞梵网络科技有限公司,/,/,/,#N/A,Entertainment,,T0,7494673290524395073,新开国,jiazheng.jiang,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006093,广州棒谷,LD06141,,,,广州棒谷,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006094,帕拓逊,LD06142,,,,帕拓逊,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,黄忆卓Amy,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006095,深圳英驰供应链管理有限公司,LD06143,,,,深圳英驰供应链管理有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,黄忆卓Amy,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006096,深圳市易佰网络科技有限公司,LD06144,,,,深圳市易佰网络科技有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,黄忆卓Amy,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006097,星商创新技术(深圳)有限公司,LD06145,,,,星商创新技术(深圳)有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,黄忆卓Amy,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006098,虫洞科技,LD06146,,,,江苏虫洞电商科技有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006099,深圳市亥博科技有限公司,LD06147,,,,深圳市亥博科技有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006100,深圳市侬仔仁贸易有限责任公司,LD06148,,,,深圳市侬仔仁贸易有限责任公司,Home&Living,HIPO靶向商家,Amazon/DTC 年GMV＞$730K,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,林总,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
