LD_002511,PYBDP,LD02528,,,,韩水仙,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Bath & Body Care,,T1,7495969802547136666,快消生活,nicole.899,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002512,Leefar US,LD02529,,,,昆明五华区伟戴奥百货店（个人独资）,Home&Living,HIPO靶向商家,CNOB,Health & Elevated Home,Nutrition & Wellness,,T5,7495889356207721095,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002513,MEI DU SHOP,LD02530,,AM招商推进,,深圳市庆明实业有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,Haircare & Styling,,T4,7495811517721512563,快消生活,huangyaqian.echo,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002514,LeafStory Wellness,LD02531,,,,深圳市蔚蓝楚越科技有限公司,Home&Living,HIPO靶向商家,CNOB,Health & Elevated Home,Nutrition & Wellness,,T3,7495912202133539374,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002515,Kreain Nature Official Store,LD02532,,,,香港極樂島國際有限公司-CNOB,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496181549606800074,7496181549606800074,,,,,,7496181549606800074,已填写,2025-05-08,2.hipo,1,0,0,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_002516,Nature's Key Malaysia,LD02533,,,,Nature's Key,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002517,Shauons,LD02534,,,,北京珏耀科技有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Living,Skincare,,T4,7495848443658472137,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002518,Beetles GelPolish,LD02535,,,,广州娥美信息科技有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty,Nail Care,,T3,7496135932862499422,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002519,Beautyturess Glow Studio,LD02536,,,,广州吉妮璐国际贸易有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty,Skincare,,T3,7496236880753560501,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002520,Aurora Beauty UK,LD02537,,,,官渡区肖飒百货店,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty,Nail Care,,T2,7495983030762900145,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,7496181647627290843,,,,,,,7496181647627290843,已填写,2025-05-08,2.hipo,1,1,1,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
