LD_003021,LCGTOYS,LD03055,,,,福建落差感贸易有限公司,Home&Living,HIPO靶向商家,美区T4,Toys & Hobbies,NULL,,T0,7494544706196637863,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494544706196637863,,,,,,7494544706196637863,已填写,,,,,,,,2022-03-12,2.hipo,0,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_003022,MINISO FUN,LD03056,,,,名创优品跨境电商（广州）有限公司,3C,HIPO靶向商家,美区T5,Phones & Electronics,NULL,,T0,7496117056871303828,新开国,chenqing.0918,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,7496117056871303828,,,,,,7496117056871303828,已填写,,,,,,,,2025-03-14,2.hipo,1,0,0,,T0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_003023,HOBIBEAR Wide toe shoes,LD03057,,,,晋江哈比熊鞋服有限责任公司,Fashion,HIPO靶向商家,美区T4,Shoes,NULL,,NULL,8655477561307727371,育商,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496226778423331339,7496226778423331339,,,,,,7496226778423331339,已填写,,1.skm,0,0,0,,T0,2025-06-16,1.skm,1,1,1,47147.34,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_003024,noblehair,LD03058,,,,河南瑞贝卡发制品股份有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,NULL,,T0,7494948402900732854,育商,NULL,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,,7494948402900732854,,,,,,7494948402900732854,已填写,,,,,,,,2023-03-04,2.hipo,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_003025,Graww Hair,LD03059,,,,许昌华彩发制品有限公司,Fashion,HIPO靶向商家,美区T5,Fashion Accessories,NULL,,T0,7494919422426450891,育商,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_003026,hunmanhair001,LD03060,,,,(null),Fashion,HIPO靶向商家,美区T5,Fashion Accessories,NULL,,T0,7494816108518607372,育商,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003027,Faddish Fashion NAPT,LD03061,,,,"NORTH AMERICA PACIFIC TRADING CO., LIMITED",Fashion,HIPO靶向商家,美区T5,Womenswear & Underwear,NULL,,NULL,7496204449447643285,新开国,chenqing.0918,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_003028,HSIA JP,LD03062,,,,"Seeding Co.,Limited",Fashion,HIPO靶向商家,美区T5,Womenswear & Underwear,Women's Underwear,,NULL,7496239547580124021,新开国,huangyizhuo.1992,,,,/,/,/,,是,5-已入驻,,,,,,,,7494613110434007089,,,,,,7494613110434007089,已填写,,,,,,,,2022-05-12,2.hipo,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_003029,Yagudfituk,LD03063,,,,宁波势腾跨境电子商务有限公司,Fashion,HIPO靶向商家,美区T5,Sports & Outdoor,Fitness,,T0,7496315432385677786,新开国,langzihan.99,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,,7496315432385677786,,,,,,7496315432385677786,已填写,,,,,,,,2025-09-23,2.hipo,1,1,1,0.00,T0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_003030,AuroraJewelryuk,LD03064,,,,广州市欧若拉珠宝有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,NULL,,T0,7496181685648132099,新开国,tangwei.012,,,,/,/,/,,是,5-已入驻,,,,,,,,7496181685648132099,,,,,,7496181685648132099,已填写,,,,,,,,2025-05-10,2.hipo,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
