LD_002021,PM Shoes,LD02035,,AM招商推进,,晋江市派铭贸易有限公司,Fashion,HIPO靶向商家,CNOB,Shoes,Women's Shoes,许铭楷,T3,7496289331902842965,运动潮奢,lishachoo,AM,,张玲,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002022,WestKiss Hair Store,LD02036,,,,龙熠（聚合）,Fashion,HIPO靶向商家,CNOB,Fashion,/,,#N/A,7494469426179573907,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7494133615354217601,7494133615354217601,,,,,,7494133615354217601,已填写,2025-11-07,2.hipo,1,1,1,,T0,2025-09-09,2.hipo,1,1,1,2280.79,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002023,bangjazzhair,LD02037,,AM招商推进,,罗依斯,Fashion,HIPO靶向商家,CNOB,Fashion Accessories,Hair Extensions & Wigs,郭婧怡,T4,7495895680609061076,服饰服配,zhoujie.jessie,AM,,郭晓彤,/,/,/,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_002024,Corolla shoes,LD02038,,,,米果（聚合）,Fashion,HIPO靶向商家,CNOB,Fashion Non-Apparel,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002025,BRRRRT SHOP,LD02039,,,,米帅,Fashion,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Electric & Remote Control Toys,,T2,7495303083250386951,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7496250479831780271,,,,,,7496250479831780271,已填写,,,,,,,,2025-06-25,3.other,1,1,1,1266.62,T1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002026,Hotcom,LD02040,,,,浦江魔蝎文化传媒有限公司,Fashion,HIPO靶向商家,CNOB,unknown,/,,T4,7495891119495481877,服饰服配,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7495891119495481877,7495891119495481877,,,,,,7495891119495481877,已填写,2025-09-18,2.hipo,1,1,1,30264.82,T3,2025-08-11,2.hipo,1,1,1,40806.04,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002027,Ygwigsus,LD02041,,,,青岛莉雅琳商贸有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002028,FizzandRizz,LD02042,,,,青岛时志月格电子有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Costume Jewelry & Accessories,,T2,7495909598051404243,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002029,YWIGS HAIR,LD02043,,,,青岛伊君雅商贸有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,#N/A,7494492556179637553,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7494492556179637553,,,,,,7494492556179637553,已填写,,,,,,,,2026-03-13,2.hipo,1,1,1,19448.06,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002030,balabalakids,LD02044,,,,森马,Fashion,HIPO靶向商家,CNOB,Fashion,Girls' Footwear,,T2,7496042382582647544,新开国,fanwenjun.215,,,,/,/,/,,是,5-已入驻,,,,,,,7496042382582647544,7496042382582647544,,,,,,7496042382582647544,已填写,2026-02-25,2.hipo,1,1,0,,T0,2026-01-15,2.hipo,1,1,1,7585.66,T2,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
