LD_000031,Keep US,LD00031,必招 6 月,,,Keep Sports HK Limited,Fashion,HIPO靶向商家,CNOB,Sports & Outdoor,Fitness,,T3,7495830533694917603,运动潮奢,wanwan.888,BD,赵月晨,,/,/,/,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_000032,Zlike Hair Store,LD00032,必招 6 月,,,许昌市戈尔丝商贸有限公司-CNOB,Fashion,HIPO靶向商家,CNOB,Fashion Accessories,Hair Extensions & Wigs,,T4,7495363648569772586,服饰服配,zhoujie.jessie,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,,7494582816871974121,,,,,,7494582816871974121,已填写,,,,,,,,2026-04-14,3.other,1,1,1,239.07,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_000033,Liene Life,LD00033,必招 6 月,,,汉图科技,3C,HIPO靶向商家,CNOB,#UNSUPPORT VALUE,Office Equipment,,T4,7496148114175069033,3C,zengjing.9712,BD,李泽,,曾亮-代运营负责人,@曾亮,深圳成都,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_000034,Terra Gym,LD00034,必招 6 月,,,钜悦科技(海南)有限公司-CNOB,Fashion,HIPO靶向商家,CNOB,Sports & Outdoor,Fitness,,T3,7496080292341123075,运动潮奢,chenwei.003,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,,7496180458385606926,,,,,,7496180458385606926,已填写,,,,,,,,2025-05-07,2.hipo,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_000035,DrBioCare,LD00035,必招 6 月,,,拓世传媒,Beauty&FMCG,HIPO靶向商家,CNOB,Health,Nutrition & Wellness,,T3,7495352939804002843,快消生活,qiulei.0117,BD,江家徵,,老板 - Tim,Tim - Metoo,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000036,Z SEA Skincare,LD00036,必招 6 月,,,海洋至尊,Beauty&FMCG,HIPO靶向商家,CNOB,#UNSUPPORT VALUE,Bath & Body Care,,T3,7496092966468553708,快消生活,liuburong.emma,BD,江家徵,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,7496092966468553708,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_000037,EcoFlow Technology Inc.,LD00037,必招 6 月,,,EcoFlow Technology Inc.,Fashion,HIPO靶向商家,美区T5,Home Improvement,Electrical Equipment & Supplies,,T5,7495127912932215044,运动潮奢,qieyixiao,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,,7494458715375962934,,,,,,7494458715375962934,已填写,,,,,,,,2021-12-28,2.hipo,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_000038,SEESE Store,LD00038,必招 6 月,,,HONG KONG XINYU NETWORK TRADING CO.，LIMITED,Home&Living,HIPO靶向商家,美区T5,Tools & Hardware,Power Tools,,T5,7495813187623356746,汽摩工具,tangyong.allen,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,,7496158648874207256,,,,,,7496158648874207256,已填写,,,,,,,,2025-04-22,2.hipo,1,1,1,1849.60,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_000039,Cowsar Appliance,LD00039,必招 6 月,,,/,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,/,Kitchen Appliances,,T5,7495369204676921997,3C,zhangwenli.168,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,,7496099023538587824,,,,,,7496099023538587824,已填写,,,,,,,,2025-02-25,2.hipo,1,1,1,135665.41,T4,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_000040,OEAK Apparel,LD00040,必招 6 月,AM招商推进,fashion自补,义乌夏歌,Fashion,HIPO靶向商家,CNOB,Womenswear & Underwear,Women's Underwear,赵亭,T5,7495342967492151603,服饰服配,liyawen.7ll,AM/BD,赵月晨,Millie Cheng,老板在美国，暂无人力做欧洲,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
