LD_005751,Shecurve USA,LD05793,,,,WANGXIN INC,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005752,GANIA,LD05794,,AM招商推进,fashion自补,义乌市欧丞进出口有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Costume Jewelry & Accessories,祝航宇,T4,7496005300891060469,服饰服配,liyaoyao.y,AM/BD,李泽,郭晓彤,/,7.3,/,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_005753,QUANDIAN Hair,LD05795,,AM招商推进,fashion自补,许昌灵眸商贸有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Hair Extensions & Wigs,鲁慎思,T3,7495864147290524015,服饰服配,zhoujie.jessie,AM/BD,赵月晨,郭晓彤,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005754,AAIVV-Luggage,LD05796,,AM招商推进,fashion自补,深圳叁利网络科技有限公司,Fashion,HIPO靶向商家,美区T4,Luggage & Bags,Luggage & Travel Bags,祝航宇,T4,7496208382097393982,运动潮奢,wuhao.howie,AM/BD,赵月晨,张玲,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005755,Kismile,LD05797,,,,深圳市伊莱塔克科技有限公司,3C,HIPO靶向商家,美区T4,Household Appliances,Large Home Appliances,,NULL,8655519017491138351,3C,liqi.seven,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,7496086086484658991,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_005756,AnkerUS,LD05798,,,,FANTASIA TRADING LLC,3C,HIPO靶向商家,美区T4,Phones & Electronics,/,,#N/A,7494102303840373619,NULL,NULL,,,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005757,BLOOMCHICUSOFFICIAL,LD05799,,,,BLOOMCHIC HK LIMITED,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005758,MAXYOYO HOME,LD05800,,AM招商推进,,合肥麦克思悠贸易有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,Indoor Furniture,,T4,7496213194451159332,家具家装,guona.rena,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005759,Doores Hair Extensions,LD05801,,,,DOORES BEAUTY LLC,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,/,,#N/A,7495901693990242977,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005760,DIYtoolifz Store,LD05802,,AM招商推进,,HONGKONG SHANGZHOU LIMITED,Home&Living,HIPO靶向商家,美区T4,Tools & Hardware,Power Tools,,T4,7495954269585050555,汽摩工具,tangyong.allen,AM,,周羽中 Ray,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
