LD_002081,AFISH Celana Dalam,LD02095,,,,广州柒兴国际贸易有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002082,WakyFit,LD02096,,,,广州燃力觉醒信息科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,T4,7495836690487019816,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7495836690487019816,,,,,,7495836690487019816,已填写,,,,,,,,2025-12-07,2.hipo,1,1,1,763.96,T1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002083,Ucciyo Jewelry-USA,LD02097,,,,广州市潮酷饰界珠宝有限公司,Fashion,HIPO靶向商家,CNOB,Jewelry,/,,T4,7495314534352194431,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7495314534352194431,,,,,,7495314534352194431,已填写,,,,,,,,2025-02-11,2.hipo,1,0,0,0.00,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_002084,SHENGMILUO&YN,LD02098,,,,广州市花都区狮岭岚菲箱包商行(个体工商户),Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002085,Karen Coral,LD02099,,,,广州市金谨格贸易有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002086,ShriLan Malaysia,LD02100,,,,广州世纪兰云科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002087,MOSESQUEEN,LD02101,,,,广州市魔西服装有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002088,TINAIBIN Shop,LD02102,,,,广州市正时国际贸易有限公司-CNOB,Fashion,HIPO靶向商家,CNOB,Fashion,Fashion Watches & Accessories,,T2,7496094905154308176,服饰服配,liyaoyao.y,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002089,SMAEL INDONESIA,LD02103,,,,广州斯麦尔表业有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002090,Hiboo Baby,LD02104,,,,广州天茂传媒有限公司,Fashion,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
