LD_002341,Tribesigns,LD02357,,,,深圳市红颜知己科技有限公司,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,#N/A,7496006263948740700,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496100210002791247,7496100210002791247,,,,,,7496100210002791247,已填写,2025-03-31,1.skm,1,1,1,96552.25,T3,2025-02-27,1.skm,1,1,1,101683.94,T4,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002342,DreameOfficialstore,LD02358,,,,深圳市千帆渡电子商务有限公司,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002343,Redchef.PH,LD02359,,,,浙江格蕾美电子商务有限公司,Home&Living,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494511543821502097,,,,,,,7494511543821502097,已填写,2026-03-23,1.skm,1,1,1,16222.16,T2,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002344,GENIMO,LD02360,必招 7 月,,,Genimo（聚合）,Home&Living,HIPO靶向商家,CNOB,Textiles & Soft Furnishings,Household Textiles,,T3,7496110684653390549,日用家纺,zhangshiwei.92,BD,江家徵,,老板 - 周丹娜,@周丹娜,/,,是,5-已入驻,,已入驻UK，待补Shop Code,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002345,BEDELITE HOME,LD02361,,AM招商推进,,Hong Kong Dingfa Limited-CNOB,Home&Living,HIPO靶向商家,CNOB,Textiles & Soft Furnishings,Bedding and Linens,,T3,7495848250586008182,日用家纺,lishiyun.607,AM,,刘雨欣,/,/,/,,是,3-商家有意愿,BEDELITE美区互通群,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002346,LUMI Official,LD02362,,,,HUMANMOTION CORPORATION LIMITED,3C,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,T3,7496180491441571843,3C,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494545457787602224,,,,,,7494545457787602224,已填写,,,,,,,,2026-03-31,3.other,1,1,1,1851.77,T1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002347,HERE US Shop,LD02363,,,,wakuku,Home&Living,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Dolls & Stuffed Toys,,T1,7496199946715106012,快消生活,liushanyu.0213,,,,/,/,/,,是,1-待触达,,,,,,,7494118429353936454,7494118429353936454,,,,,,7494118429353936454,已填写,2025-08-29,2.hipo,0,0,0,0.00,T0,2025-09-19,3.other,0,0,0,0.00,T0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_002348,Chapter One Shop,LD02364,,,,安徽聚贤新材料科技有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",Humanities & Social Sciences,,T3,7495648095576754479,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002349,Inovaday,LD02366,,,,北京品海,Home&Living,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,T4,7495466808722950340,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494315799732585519,,,,,,,7494315799732585519,已填写,2025-12-18,3.other,1,0,0,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_002350,Soffiya Home,LD02367,,,,广州飞扬市场营销策划有限公司-CNOB,3C,HIPO靶向商家,CNOB,"Home, Luxury Resale & Collectibles",/,,,NULL,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
