LD_005961,simple men shop,LD06003,,,,溆浦羿宸数码产品有限公司,Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,NULL,,T0,7494228957450045071,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005962,R.W.FLAME,LD06004,,AM招商推进,,宁波艾思电子商务有限公司,3C,HIPO靶向商家,美区T4,Household Appliances,Home Appliances,,T4,7495446727232686209,3C,zhangwenli.168,AM,,郑羽伶,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005963,Asvivid Shop,LD06005,,AM招商推进,fashion自补,"DLM INTERNATIONAL TRADING CO. ,LIMITED",Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,/,吕君丽,T5,7495976595440765353,服饰服配,jiangshan.amber,AM,,Millie Cheng,新增入驻,/,/,,是,5-已入驻,,,,,,,,7495976595440765353,,,,,,7495976595440765353,已填写,,,,,,,,2026-06-15,2.hipo,1,1,1,4326.21,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_005964,K&F CONCEPT,LD06006,,,,深圳市卓尔摄影器材有限公司,3C,HIPO靶向商家,美区T4,Phones & Electronics,Cameras & Photography,,T4,7495466670338967996,3C,zhuxiaoyi.suki,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005965,DRIFT.SLIDE,LD06007,,AM招商推进,,意普（天津）智能科技有限公司,Home&Living,HIPO靶向商家,美区T4,Sports & Outdoor,Leisure & Outdoor Recreation Equipment,,T3,7495481399296690648,运动潮奢,liziyin.plumlee,AM,,周洋,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005966,Top Music.Audio,LD06008,,,,TRENDY QUALITY TOYS CO.，LIMITED,3C,HIPO靶向商家,美区T4,Phones & Electronics,/,,#N/A,7495831763227412701,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494105495071786344,7494105495071786344,,,,,,7494105495071786344,已填写,2025-09-03,2.hipo,1,1,1,25906.56,T2,2025-09-17,2.hipo,1,1,1,6690.59,T2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_005967,GRAPENT,LD06009,,AM招商推进,fashion自补,Sunny World Clothing Limited,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,/,吕君丽,T4,7496179281413966015,服饰服配,jiangshan.amber,AM,,谢冰沁Bibi,新时颖 已拉群,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005968,QinMei Hair Fashion,LD06010,,AM招商推进,,许昌昂谦商贸有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Hair Extensions & Wigs,樊晨,T3,7495873078688058074,服饰服配,zhoujie.jessie,AM,,郭晓彤,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005969,Healthy Life Choice,LD06011,,,,ZENVINE INC,Beauty&FMCG,HIPO靶向商家,美区T4,Health,Nutrition & Wellness,,T2,7496225678149323363,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005970,KORMESIC&CEROVA,LD06012,,,,晋城市蚂蚁拓客科技有限公司,Beauty&FMCG,HIPO靶向商家,美区T4,Beauty & Personal Care,/,,#N/A,7495924283977796189,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
