LD_001531,WAN2G5,LD01535,,,,從禾商貿有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001532,Joce house264,LD01536,,,,德化县启风丝百货商行,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001533,BeamBalm Cosmetics,LD01537,,,,馥蕾诗(深圳)国际贸易有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Personal Care & Life,/,,T4,7496213396980861671,快消生活,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7496213396980861671,,,,,,7496213396980861671,已填写,,,,,,,,2026-04-06,2.hipo,1,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_001534,GIANTWATERMELON,LD01538,,,,高密市卉草宜生智选三百货店,Beauty&FMCG,HIPO靶向商家,CNOB,"Beauty, Food & Beverage",/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001535,MLAN Lash Studio,LD01539,,,,高新区心恋便利店,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001536,Dr. Rafael Cruz,LD01540,,,,广州潮生网络科技有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty & Personal Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001537,Dr.YuTian Toko,LD01541,,,,香港極樂島國際有限公司-CNOB,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001538,Butterflys Tear Balance,LD01542,必招 7 月,,,广州瀚宸互联科技有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Health,Nutrition & Wellness,,T2,7496226764608866794,快消生活,zhangguangxin.dennis,BD,赵月晨,,/,/,/,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_001539,huahudie,LD01543,,,,广州媄诺生物科技有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001540,Salonkey,LD01544,,,,广州市宽祥贸易有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Care,NULL,,T0,7494195579353204694,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
