LD_001451,Aisbo,LD01455,,,,江苏瑞卡丝家居有限公司,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Textiles & Soft Furnishings,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494131558494537557,,,,,,,7494131558494537557,已填写,2025-09-06,2.hipo,0,0,0,0.00,T0,,,,,,,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_001452,AcclaFit,LD01456,,,,湖南巨集能源科技有限公司,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Phones & Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7496117142455421131,,,,,,7496117142455421131,已填写,,,,,,,,2025-03-13,1.skm,1,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_001453,HomeFashion,LD01457,,,,眾盈塑膠電子有限公司,Beauty&FMCG,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Health,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001454,OutdoorMaster,LD01458,,,,深圳市威震天电子商务有限公司,Fashion,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Sports & Outdoor,NULL,,T0,7494083096481858648,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7494083096481858648,,,,,,7494083096481858648,已填写,,,,,,,,2021-08-05,1.skm,0,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_001455,Lekesky,LD01459,,,,厦门市灿联贸易有限公司,Fashion,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Luggage & Bags,NULL,,T0,8647045364054331027,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7495481731766782611,,,,,,7495481731766782611,已填写,,,,,,,,2024-09-30,1.skm,1,0,0,,T0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
LD_001456,chairus,LD01460,,,,安吉图诺家居有限公司,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Furniture,/,,T3,7495924777273297860,家具家装,NULL,,,,/,/,/,,是,3-商家有意愿,,,,,,,7496262689389710166,7496262689389710166,,,,,,7496262689389710166,已填写,2025-07-15,2.hipo,1,1,1,15024.26,T2,2026-02-03,1.skm,1,1,1,9671.71,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001457,fanxiang,LD01461,,,,深圳市领德创科技有限公司,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,#N/A,#N/A,,,NULL,NULL,NULL,BD,叶佳智,,/,/,/,,是,5-已入驻,,,,,,,7495737439868652192,7495737439868652192,,,,,,7495737439868652192,已填写,2025-09-02,2.hipo,1,1,1,0.00,T0,2025-03-07,1.skm,1,1,1,6672.57,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001458,jadens,LD01462,,,,/,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Computers & Office Equipment,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7496103324293761863,7496103324293761863,,,,,,7496103324293761863,已填写,2025-04-21,2.hipo,1,1,1,52513.66,T3,2025-02-28,1.skm,1,1,1,59274.50,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_001459,Rii,LD01463,,,,格銳泰有限公司,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Computers & Office Equipment,Gaming & Consoles,,T1,7495737770143025184,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001460,MASTERTOP,LD01464,,,,宁波马斯特普家居用品有限公司,Home&Living,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,Home Supplies,NULL,,T0,7495648170068249216,育商,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7494167418776750061,7494167418776750061,,,,,,7494167418776750061,已填写,2025-09-25,3.other,1,1,1,0.00,T0,2025-11-04,1.skm,1,1,1,1707.67,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
