LD_005711,Bearbro Fitness Studio,LD05753,,,,深圳市弘禄网络科技有限公司,Fashion,HIPO靶向商家,美区T4,Sports & Outdoor,Fitness,,T4,7495823532547541371,运动潮奢,chenwei.003,BD,李泽,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005712,Neotec,LD05754,,AM招商推进,,杭州岚珊科技有限公司,Home&Living,HIPO靶向商家,美区T4,Tools & Hardware,Garden Tools,,T4,7496121011311708854,汽摩工具,tangyong.allen,AM,,周羽中 Ray,/,/,/,,是,5-已入驻,,,,,,,7494776722570381202,,,,,,,,已填写,,3.other,0,0,,,T0,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_005713,StaGeek,LD05755,,,,Hong Kong Writing Time Limited,3C,HIPO靶向商家,美区T4,Computers & Office Equipment,/,,#N/A,7495068170173777959,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,7495068170173777959,7495068170173777959,,,,,,7495068170173777959,已填写,2025-03-26,2.hipo,1,1,1,2339.48,T1,2025-03-05,2.hipo,1,1,1,4330.86,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_005714,CEDAFIR Shop,LD05756,,AM招商推进,,东莞市睿峰商贸有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,Home Decor,,T5,7496095668803832515,日用家纺,wangchangli,AM,,刘雨欣,/,/,/,,是,2-已触达/沟通中,"王长利, 宣, 刘雨欣, 张群",,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005715,Sidefeel,LD05757,,AM招商推进,fashion自补,泉州市云鼎星际贸易有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,/,吕君丽,T4,7496139203298101516,服饰服配,jiangshan.amber,AM,,谢冰沁Bibi,新时颖 已拉群,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005716,OYV-Hustle,LD05758,必招 7 月,AM招商推进,fashion自补,FISHSTICKS ECONOMIC LIMITED,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,Women's Suits & Sets,桂晴,T4,7495956621696666354,服饰服配,zhaoyingyi.zz,AM/BD,赵月晨,谢冰沁Bibi,杭州踏搏/OQQ，同集团已入驻millie开了德国,/,/,,是,5-已入驻,,,,,,,7495956621696666354,7495956621696666354,,,,,,7495956621696666354,已填写,2026-01-28,2.hipo,1,0,0,,T0,,,,,,,,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_005717,LayRoad Mattress,LD05759,,,,佛山市艾斯莉家具有限公司,Home&Living,HIPO靶向商家,美区T4,Furniture,/,,,NULL,NULL,NULL,BD,夏春雨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005718,Senmaries,LD05760,,AM招商推进,,义乌市印辰电子商务有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Eyewear,许铭楷,T3,7494109470876402733,服饰服配,wangrui.wil,AM,,郭晓彤,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_005719,Fisoew Sports,LD05761,,,,杭州质呈网络科技有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,/,,T4,7496131422798646104,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496131527552436274,7496131527552436274,,,,,,7496131527552436274,已填写,2026-03-31,2.hipo,1,1,1,,T0,2026-03-31,2.hipo,1,1,1,15492.04,T2,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_005720,UrbanPeakk,LD05762,,AM招商推进,,宿迁顿特电子商务有限公司,Home&Living,HIPO靶向商家,美区T4,Home Improvement,Building Supplies,,T3,7494229538847688085,家具家装,wangyizhi.215,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
