LD_006191,Highland Crystal Studio,LD06239,必招 7 月,,,/,Fashion,/,/,Collectibles,Sports Collectibles,,T3,7494367118069761996,运动潮奢,tangmengze,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006192,Eastern Vessel Diary,LD06240,必招 7 月,,,/,Fashion,/,/,Collectibles,Cultural Items,,T3,7494608930433566605,运动潮奢,yanbailu,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006193,VenusjewelryUS,LD06241,必招 7 月,AM招商推进,fashion自补,/,Fashion,/,/,Jewelry Accessories & Derivatives,Silver,,T3,7495295446245870541,运动潮奢,tangmengze,AM/BD,李京达,郭晓彤,飞书群,7.3,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006194,Chic Muse US,LD06242,必招 7 月,,,/,Fashion,/,/,Sports & Outdoor,Camping & Hiking,,T3,7495998981130193869,运动潮奢,tangmengze,BD,李京达,,/,/,/,,是,1-待触达,,,,,,,7494173883195491537,7494173883195491537,,,,,,7494173883195491537,已填写,2025-09-26,3.other,0,0,0,0.00,T0,2025-09-27,3.other,1,1,1,758.37,T1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_006195,Sctselctus,LD06243,必招 7 月,,,/,3C,/,/,Phones & Electronics,Mobile Phone Accessories,,T3,7496085402189400123,3C,wangzhenwei.1,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7496085402189400123,7496085402189400123,,,,,,7496085402189400123,已填写,2026-01-23,2.hipo,0,0,0,,T0,2026-06-22,2.hipo,1,1,1,4474.34,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006196,Wendy's Picks,LD06244,必招 7 月,AM招商推进,fashion自补,/,Fashion,/,/,NULL,NULL,,T0,7494531830332097934,服饰服配,wangrui.wil,AM/BD,李京达,谢冰沁Bibi,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006197,Beads.DIY,LD06245,必招 7 月,,,/,Beauty&FMCG,/,/,Collectibles,Entertainment,,T3,7494127842595210245,快消生活,wangzhen.chris,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006198,Street Staples,LD06246,必招 7 月,,,/,Fashion,/,/,NULL,NULL,,T0,7494297402499892951,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006199,AELFRIC EDEN,LD06247,必招 7 月,,,/,Fashion,/,/,Menswear & Underwear,Men's Tops,,T5,7495979628624317026,服饰服配,linyangqin.cyrus7,BD,赵月晨,,/,/,/,,是,5-已入驻,,,,,,,7495979628624317026,7495979628624317026,,,,,,7495979628624317026,已填写,2026-04-20,1.skm,1,1,1,1592.95,T1,2026-04-20,1.skm,1,1,1,128462.78,T4,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006200,MomokoToys,LD06248,必招 7 月,,,/,Fashion,/,/,Collectibles,Entertainment,,T3,7494454036062111227,运动潮奢,yanbailu,BD,金慧婷,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
