LD_002521,Cottonday SEA,LD02538,,,,嘉兴宜和生物科技有限公司-CNOB,Home&Living,HIPO靶向商家,CNOB,Home & Care,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002522,Mowje Oedd,LD02539,,,,明大貿易有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Living,Bath & Body Care,,T3,7494111403456562737,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002523,KIMUSE.PH,LD02540,,,,缪色（聚合）,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002524,PARMAYARD,LD02541,,,,钱鹿科技,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002525,WosheerBeauty,LD02542,,,,青岛丽美国际贸易有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,Beauty,Makeup,,T4,7496100192212060556,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002526,Aura Beauty Lab-UK,LD02543,,,,三亚竹小春贸易有限责任公司,Home&Living,HIPO靶向商家,CNOB,Home & Living,Dog & Cat Grooming,,T4,7496068619378198823,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494367276925289734,,,,,,,7494367276925289734,已填写,2026-01-19,3.other,1,1,1,5612.11,T2,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002527,Allure Eco,LD02544,,,,上海哈塔柴油机有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,Home Care Supplies,,T4,7496106841945442582,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002528,VYXION HEALTH,LD02545,,,,上海蘅拓科技贸易有限公司,Home&Living,HIPO靶向商家,CNOB,Health & Elevated Home,Nutrition & Wellness,,T2,7495735658481748967,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002529,Ellery - Alle,LD02547,,,,深圳市海蕾特科技有限公司,Beauty&FMCG,HIPO靶向商家,CNOB,FMCG,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002530,Omdie eidu,LD02548,,,,香港盛源離岸貿易有限公司,Home&Living,HIPO靶向商家,CNOB,Home & Living,Games & Puzzles,,T3,7494102955633575421,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
