LD_006291,Blank Slate Studios,LD06339,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T1,7494694154598581740,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006292,Vortex Alley Apparel,LD06340,必招 7 月,,,/,Home&Living,/,/,#N/A,NULL,,T2,7494196115945980938,育商,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006293,Great Products Cool,LD06341,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T1,7494694109643311093,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006294,Pure&Glow,LD06342,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T0,7494306570152085106,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006295,fashion style shopping,LD06343,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T1,7494697302490121287,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006296,East west cloth,LD06344,必招 7 月,,,/,Fashion,/,/,#N/A,NULL,,T1,7494691698335974497,育商,NULL,BD,金慧婷,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006297,fubinnn-shop,LD06345,必招 7 月,,,/,Home&Living,/,/,#N/A,Bedding and Linens,,T1,7494608561041671874,日用家纺,yangli.lee,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006298,EBL Battery Shop,LD06346,,,,/,Home&Living,/,/,#N/A,/,,#N/A,7495764380626552884,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006299,Audio.Tech,LD06347,,,,/,/,/,/,#N/A,/,,行业提报,7495927079713933385,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,7496310131352308377,,,,,,,7496310131352308377,已填写,2025-08-05,2.hipo,1,1,1,65803.72,T3,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_006300,FanttikSolo,LD06348,,,,/,3C,/,/,#N/A,/,,25Q4 T5,7495523131960625472,NULL,NULL,BD,李泽,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
