LD_001651,ZYHA.MY,LD01655,,,,厚道牛(杭州)科技有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001652,Tournesol Store,LD01656,,,,惠州市图尼狮服装有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,T4,7495740184488610267,服饰服配,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,7495740184488610267,,,,,,7495740184488610267,已填写,,,,,,,,2025-07-10,2.hipo,1,1,1,1067.93,T1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_001653,X-Force Gear,LD01657,,,,昆明版督国际商贸有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001654,baginqueen.bag,LD01658,,,,宁波创韵科技产业服务有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001655,OCKIS Thailand,LD01659,,,,宁波科凡乐日用品有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001656,Urab bar,LD01660,,,,凭祥市张珠服装商行,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001657,Selected Wear,LD01661,,,,普宁市士达文化传媒服务部(个人独资),Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001658,Dokotoo Men,LD01662,,,,泉州市谦懿贸易有限公司,Fashion,HIPO靶向商家,CNOB,Fashion,NULL,,T0,7495452933861902602,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001659,ร้านADชุดชั้นใน,LD01663,,,,汕头市潮南区两英丹武购物店,Fashion,HIPO靶向商家,CNOB,Fashion,/,,,NULL,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_001660,Athlefit,LD01664,,AM招商推进,,厦门芃炫网络科技有限公司,Fashion,HIPO靶向商家,CNOB,Shoes,Women's Shoes,祝航宇,T4,7495364813117688340,运动潮奢,wuhao.howie,AM,,张玲,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
