LD_000141,IOUO US,LD00141,必招 6 月,,,ZenithStudios LLC,3C,HIPO靶向商家,美区T4,#N/A,Audio & Video,,T3,7496101315876326131,3C,yaoxuyiyi,BD,李泽,,金超-老板,@金超,深圳,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000142,AOXUN,LD00142,必招 6 月,,,宁波宝宸电子商务有限公司,Home&Living,HIPO靶向商家,美区T4,Home Improvement,Garden Supplies,,T4,7495821877212383282,家具家装,hanxiao.smiley,BD,江家徵,,/,/,/,,是,5-已入驻,,,,,,,,7494551776600557922,,,,,,7494551776600557922,已填写,,,,,,,,2022-03-17,3.other,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_000143,SVM SCOOTER,LD00143,必招 6 月,,,天津霏斯科机电有限公司,Fashion,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",Fitness,,T3,7496248464722266385,运动潮奢,liziyin.plumlee,BD,李京达,,/,/,/,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_000144,EBL Battery Shop,LD00144,必招 6 月,,,深圳市高诚电子商务有限公司,3C,HIPO靶向商家,AMZ/DTC whitelabel,#N/A,Mobile Phone Accessories,,T2,7495764380626552884,3C,huanghaoxuan.123,BD,李泽,,赵富贵儿-运营负责人,@赵富贵儿,深圳,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000145,DailyLife Home,LD00145,必招 6 月,,,宁波真辉建筑有限公司,3C,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",Home Appliances,,T2,7495871637245560864,3C,panlin.888,BD,李泽,,余（Frankie）-TTS负责人,@余（Frankie）,宁波,,是,3-商家有意愿,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_000146,STEELITE TOOL,LD00146,必招 6 月,,,/,3C,HIPO靶向商家,TTS US T3+ 级商家,#N/A,Garden Tools,,T4,7496106932871072436,3C,wangzhenwei.1,BD,李泽,,曹彭彭-TTS项目对接,/,未回复，总部在宁波,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000147,usmile.us,LD00147,必招 6 月,,,Usmile,3C,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Personal Care Appliances,,T2,7495803128833412090,3C,panlin.888,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7496304423115982912,,,,,,,7496304423115982912,已填写,2025-08-01,2.hipo,1,1,1,1293.97,T1,,,,,,,,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_000148,VUSIGN HOME,LD00148,必招 6 月,,,/,3C,HIPO靶向商家,TTS US T3+ 级商家,#N/A,Fitness,,T1,7496315521878690413,3C,wangzhenwei.1,BD,李泽,,曹彭彭-TTS项目对接,/,未回复，总部在宁波,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_000149,XPPen Store,LD00149,必招 6 月,,,YO CHUNG (HONG KONG) TECHNOLOGY LIMITED,3C,HIPO靶向商家,AMZ Retailer,#N/A,Education Devices,,T2,7495721529680890010,3C,panzimo.666,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7494774484626671095,,,,,,,7494774484626671095,已填写,2026-07-14,3.other,1,0,,,T0,,,,,,,,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1
LD_000150,HUANUO Global,LD00150,必招 6 月,,,/,3C,战略重点商家,B. 头部亚马逊/DTC卖家｜Top AMZ/Top DTC sellers,#N/A,NULL,,T0,NULL,3C,NULL,BD,李泽,,陈宗雨-TTS对接人,@Ashley Chen陈宗雨,深圳,,是,5-已入驻,,,,,,,7494754037025703247,,,,,,,7494754037025703247,已填写,2026-07-03,1.skm,1,1,,,T0,,,,,,,,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0
