LD_008111,Laruda-oula,LD08161,,AM招商推进,fashion自补,/,Fashion,/,/,Fashion Accessories,/,,T3,7494195546042893565,育商,zhouruilin.824,AM,,郭晓彤,飞书群,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008112,-lifestyles-,LD08162,,,,/,Fashion,/,/,Shoes,/,,T3,7495847912655456720,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008113,Living garden,LD08163,,,fashion自补,/,Fashion,/,/,Womenswear & Underwear,Women's Bottoms,,T4,7495873186409646354,服饰服配,NULL,,,谢冰沁Bibi,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008114,IMANI HAIR,LD08164,,AM招商推进,fashion自补,/,Fashion,/,/,Fashion Accessories,/,,T3,7495804196531964422,育商,zhouruilin.824,AM,,郭晓彤,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008115,Raybee Furniture US,LD08165,,,,/,Home&Living,/,/,Furniture,/,,T3,7495382106290752017,家具家装,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008116,Deepmind,LD08166,,,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Makeup,,T2,7494364785249519105,快消生活,nicole.899,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008117,LAMTTO Carplay,LD08167,,,,/,Home&Living,/,/,Automotive & Motorcycle,/,,T3,7495576026660636979,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008118,CozyFurniture,LD08168,,,,/,/,/,/,Furniture,/,,T3,7494489661746349199,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008119,QUANDIAN Hair,LD08169,,,fashion自补,/,Fashion,/,/,Fashion Accessories,Hair Extensions & Wigs,,T3,7495864147290524015,服饰服配,NULL,,,郭晓彤,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_008120,HOPHORSE FITNESS,LD08170,,,,/,Fashion,/,/,Sports & Outdoor,Fitness,,T3,7495974963539512235,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
