LD_007471,Firyfoul,LD07521,,AM招商推进,,/,Home&Living,/,/,Toys & Hobbies,Sports & Outdoor Play,,T3,7494505790623220842,日用家纺,wangchangli,AM,,刘雨欣,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007472,WordHueL,LD07522,,AM招商推进,,/,Home&Living,/,/,Computers & Office Equipment,Office Stationery & Supplies,,T3,7494582972847195865,日用家纺,lishiyun.607,AM,,刘雨欣,/,/,/,,是,4-入驻中,WordHueL 美区互通入驻保障群,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_007473,ARVIN,LD07523,,AM招商推进,,/,Home&Living,/,/,Kitchenware,Kitchen Utensils & Gadgets,,T3,7496135842197703106,家具家装,patonlam,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007474,TOPADRE,LD07524,,AM招商推进,,/,3C,/,/,Phones & Electronics,Mobile Phone Accessories,,T3,7494327826787173696,3C,wangzhenwei.1,AM,,胡思倩,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007475,Poclink,LD07525,,,,/,3C,/,/,#N/A,/,,#N/A,7494109060594239430,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007476,MassiveVerse,LD07526,,AM招商推进,,/,Home&Living,/,/,Home Improvement,Building Supplies,,T3,7496295783825378173,家具家装,yangqi.miranda,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007477,Lovfengarden,LD07527,,AM招商推进,,/,Home&Living,/,/,Tools & Hardware,Garden Tools,,T3,7494379304373355640,汽摩工具,yangqi.miranda,AM,,周羽中 Ray,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007478,AstraLune shop,LD07528,,AM招商推进,,/,Home&Living,/,/,Automotive & Motorcycle,Car Lights,,T2,7496236862414621644,汽摩工具,chenchen.cccc,AM,,王妙辰,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007479,Doublepow,LD07529,,AM招商推进,,/,3C,/,/,Household Appliances,Home Appliances,,T3,7495972379701775027,3C,yangyuhui,AM,,胡思倩,布局明年四月入驻,/,/,,是,3-商家有意愿,,,明年4月入驻,,"image.png, image.png",,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_007480,POUUIN Furniture,LD07530,,AM招商推进,,/,Home&Living,/,/,Furniture,Outdoor Furniture,,T3,7496107079142378383,家具家装,zhulong.zhu,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
