LD_002721,YeSaa Shop,LD02751,,,,武汉市夜飒玉电子商务有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,NULL,,T0,7496154708401031381,运动潮奢,zhuyanan.1202,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002722,Modern House,LD02752,,,,潍坊一五零一广告有限公司,Home&Living,HIPO靶向商家,美区T4,Toys & Hobbies,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_002723,Haiicheng Shop,LD02753,,,,深圳市海成中教育咨询有限公司,Home&Living,HIPO靶向商家,美区T4,Home Supplies,NULL,,T0,7496160917832305033,日用家纺,yangli.lee,BD,夏春雨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002724,Tiwugi hair store,LD02754,,AM招商推进,fashion自补,许昌耀妍商贸有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,Hair Extensions & Wigs,,T3,7495829723241286011,服饰服配,weiyue.0123,AM/BD,赵月晨,郭晓彤,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002725,HOMIQ LIFE,LD02755,,,,深圳市荷马智居科技有限公司,3C,HIPO靶向商家,美区T4,Phones & Electronics,/,,T4,7496305764298688751,3C,NULL,,,,/,/,/,,是,3-商家有意愿,,,,,,,,7494286592362972724,,,,,,7494286592362972724,已填写,,,,,,,,2025-12-02,3.other,1,1,1,148634.82,T4,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002726,ChicNest Living,LD02756,,,,武汉市超仑婷百货有限公司,Fashion,HIPO靶向商家,美区T4,Fashion Accessories,/,,,NULL,NULL,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,7494413730868397794,,,,,,7494413730868397794,已填写,,,,,,,,2026-02-10,2.hipo,0,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002727,YTHY Global,LD02757,,,,"YUTIANHUAYANG TECHNOLOGY CO., LIMITED",3C,HIPO靶向商家,美区T4,Phones & Electronics,/,,T4,7495925022664132945,3C,NULL,,,,/,/,/,,是,3-商家有意愿,,,,,,,,7494272137319580996,,,,,,7494272137319580996,已填写,,,,,,,,2025-11-24,2.hipo,1,1,1,5460.79,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002728,CheelerToy,LD02758,,,,汕头市启乐儿玩具实业有限公司,Home&Living,HIPO靶向商家,美区T4,Toys & Hobbies,Classic & Novelty Toys,,T1,7495876332443044357,快消生活,wangshu.jasmine,,,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002729,Chicovar,LD02759,,AM招商推进,fashion自补,重庆隐生代网络科技有限公司,Fashion,HIPO靶向商家,美区T4,Womenswear & Underwear,/,许铭楷,T4,7495586738370415077,服饰服配,zhaoyingyi.zz,AM,,Millie Cheng,准备启动，已开英欧,/,/,,是,5-已入驻,,,,,,,,7496208148777765499,,,,,,7496208148777765499,已填写,,,,,,,,2025-05-26,2.hipo,1,1,0,,T0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
LD_002730,Eco SmartHome Deals Hub,LD02760,,AM招商推进,,广州时茧科技有限公司,3C,HIPO靶向商家,美区T4,Household Appliances,Home Appliances,,T3,7496148186272598072,3C,patonlam,AM,,张莞清,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
