LD_008421,富颂,LD08471,必招 7 月,,,湘潭巴迪布鲁国际贸易有限公司,Beauty&FMCG,HIPO靶向商家,/,/,/,,,NULL,NULL,NULL,BD,李京达,,/,/,/,,是,4-入驻中,湘潭巴迪布鲁国际贸易有限公司,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_008422,哇晓,LD08472,必招 7 月,,,义乌市斓佟跨境电子商务有限公司,Home&Living,HIPO靶向商家,/,/,/,,,NULL,NULL,NULL,BD,李京达,,/,/,/,,是,4-入驻中,义乌市斓佟跨境电子商务有限公司,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_008423,奈露依,LD08473,必招 7 月,,,宜都市穴襦商贸有限公司,Fashion,HIPO靶向商家,/,/,/,,,NULL,NULL,NULL,BD,李京达,,/,/,/,,是,4-入驻中,宜都市穴襦商贸有限公司,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_008424,书卓,LD08474,必招 7 月,,,海口岩梦电子商务有限公司,Fashion,HIPO靶向商家,/,/,/,,/,NULL,NULL,NULL,BD,李京达,,/,/,/,,是,4-入驻中,海口岩梦电子商务有限公司,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_008425,汐花纯,LD08475,必招 7 月,,,福州高新区咕叮科技有限公司,Fashion,HIPO靶向商家,/,/,/,,/,NULL,NULL,NULL,BD,李京达,,/,/,/,,是,4-入驻中,福州高新区咕叮科技有限公司,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_008426,戴丹,LD08476,必招 7 月,,,比比拉布(济南)商贸有限公司,3C,HIPO靶向商家,/,/,/,,/,NULL,NULL,NULL,BD,李京达,,/,/,/,,是,4-入驻中,天津岚衫电子商务有限公司,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_008427,梵希泽,LD08477,必招 7 月,,,金华海浪国际物流有限公司,Beauty&FMCG,HIPO靶向商家,/,/,/,,/,NULL,NULL,NULL,BD,李京达,,/,/,/,,是,4-入驻中,金华海浪国际物流有限公司,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_008428,宵糖,LD08478,必招 7 月,,,天津岚衫电子商务有限公司,Fashion,HIPO靶向商家,/,/,/,,/,NULL,NULL,NULL,BD,李京达,,/,/,/,,是,4-入驻中,天津岚衫电子商务有限公司,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_008429,汇将,LD08479,必招 7 月,,,广州镇新电子商务有限公司,3C,HIPO靶向商家,/,/,/,,/,NULL,NULL,NULL,BD,李京达,,/,/,/,,是,4-入驻中,广州镇新电子商务有限公司,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_008430,JJBD Shop,LD08480,,AM招商推进,fashion自补,wangrui.wil,Fashion,HIPO靶向商家,/,Fashion Accessories,Women's Tops,,T3,7496317149577120704,服饰服配,wangrui.wil,AM,,郭晓彤,公牛,/,/,,是,5-已入驻,,,,,,,7494568032966445019,,,,,,,,已填写,2026-04-08,2.hipo,1,1,0,20.52,T1,,,,,,,,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
