LD_006651,Subella Hair Store,LD06701,,AM招商推进,,/,Fashion,/,/,Fashion Accessories,Hair Extensions & Wigs,丁超群,T3,7495388684648548807,服饰服配,zhoujie.jessie,AM,,郭晓彤,/,/,/,,是,5-已入驻,,,,,,,,7494380705620526297,,,,,,,已填写,,,,,,,,2026-01-23,2.hipo,1,1,1,74399.45,T3,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006652,RIWENGO-furniture,LD06702,,AM招商推进,,/,Home&Living,/,/,Furniture,Outdoor Furniture,,T3,7496109932513102783,家具家装,hanxiao.smiley,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006653,New Pioneers Shop,LD06703,,AM招商推进,,/,Home&Living,/,/,Textiles & Soft Furnishings,Household Textiles,,T4,7496241564015561724,日用家纺,chenxi.0722,AM,,刘雨欣,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006654,Harmsh Hair Shop,LD06704,,AM招商推进,,/,Fashion,/,/,Fashion Accessories,Hair Extensions & Wigs,,T3,7494103227585561986,服饰服配,weiyue.0123,AM,,郭晓彤,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006655,Aapexnasa,LD06705,,,,/,Fashion,/,/,#N/A,/,,T3,7496253188857563145,服饰服配,NULL,,,,/,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_006656,XO Smart Life Store,LD06706,,AM招商推进,,/,3C,/,/,Phones & Electronics,Mobile Phone Accessories,,T3,7496102135859808314,3C,huanghaoxuan.123,AM,,文思琪,已加商家vx，待通过,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006657,Yihouse Rugs,LD06707,,AM招商推进,,/,Home&Living,/,/,Textiles & Soft Furnishings,Household Textiles,,T3,7496123935061411840,日用家纺,zhouxinrui.zz,AM,,刘雨欣,,/,/,,是,2-已触达/沟通中,美英欧生意共建入驻意向沟通-AM【xinrui&yuxin】,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006658,VERASTE SHOP,LD06708,,AM招商推进,,/,Beauty&FMCG,/,/,Baby & Maternity,Baby Toys,,T3,7495923319108569179,快消生活,fanwenjun.215,AM,,陈杏妹,/,/,/,,是,5-已入驻,,,,,,,,7496291794863884314,,,,,,,已填写,,,,,,,,2025-07-23,3.other,1,1,1,47.64,T1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_006659,Nutri Grove,LD06709,,AM招商推进,,/,Home&Living,/,/,Home Improvement,Garden Supplies,,T3,7496121918544644827,家具家装,xiaoweiye,AM,,韩希雯,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006660,ModePop,LD06710,,AM招商推进,,/,Fashion,/,/,Womenswear & Underwear,Women's Tops,王一斐,T3,7496260465346316897,服饰服配,xuchen.quan666,AM,,谢冰沁Bibi,/,/,/,,是,5-已入驻,,,,,,,,7496260465346316897,,,,,,,已填写,,,,,,,,2026-06-08,2.hipo,1,1,0,246.90,T1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
