LD_002491,Twin and Tine,LD02508,必招 7 月,,,小豚-CNOB,3C,HIPO靶向商家,CNOB,"Books, Magazines & Audio",Humanities & Social Sciences,,T2,7496309972611009112,3C,zengjing.9712,BD,李泽,,老板,@Gj。,福州,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002492,Inoviva,LD02509,,,,"""HONG KONG HONGYI ECONOMIC&TRADING LIMITED""",3C,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",Kitchen Appliances,,T1,7494096054041479060,3C,zhangwenli.168,,,,/,/,/,,是,5-已入驻,,,,,,,,7494314299790099584,,,,,,7494314299790099584,已填写,,,,,,,,2025-12-17,2.hipo,1,1,1,20529.13,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002493,Primiorix,LD02510,必招 7 月,,,河南省黑龙集商贸有限公司,3C,HIPO靶向商家,CNOB,Household Appliances,Home Appliances,,T4,7496314586679643090,汽摩工具,doyleyang.yt,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7495808934981044484,7495808934981044484,,,,,,7495808934981044484,已填写,,,,,,,,2025-05-23,2.hipo,1,0,0,,T0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0
LD_002494,LiveFull US,LD02511,必招 7 月,,,山东百赛陶瓷制品有限公司,3C,HIPO靶向商家,CNOB,Household Appliances,Home Appliances,,T4,7494170785722303488,3C,panzimo.666,BD,李泽,,/,/,/,,是,5-已入驻,,,,,,,7494414021290591929,7494584666218595808,,,,,,"7494584666218595808,7494414021290591929",已填写,2026-03-31,1.skm,1,1,1,16438.17,T2,2026-04-15,2.hipo,1,1,1,27902.18,T2,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0
LD_002495,h2ofloss OralCare,LD02512,,,,深圳市宝丰通电器制造有限公司,3C,HIPO靶向商家,CNOB,Personal Care and Lifestyle,Personal Care Appliances,,T2,7495777708446485317,NULL,NULL,,,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002496,EONON,LD02513,,,,MILLION EXPERT LIMITED,Home&Living,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",/,,T4,7495569604946528879,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,7496201141418363205,,,,,,7496201141418363205,已填写,,,,,,,,2025-05-26,2.hipo,1,1,1,124.28,T1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_002497,KINKONG Electronics Thailand,LD02514,,,,大连笼包君企业管理有限公司,3C,HIPO靶向商家,CNOB,Electronics,/,,,NULL,NULL,NULL,,,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002498,COSYBAY,LD02515,,AM招商推进,,杭州戴卡思贝网络科技有限公司-CNOB,Home&Living,HIPO靶向商家,CNOB,Textiles & Soft Furnishings,Bedding and Linens,,T4,7495574116084910160,日用家纺,johanna.jiao,AM,,刘雨欣,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002499,Dreepor,LD02516,,,,义乌市风情玩具有限公司,3C,HIPO靶向商家,CNOB,Lifestyle,/,,,NULL,NULL,NULL,BD,李泽,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_002500,Giraffe Tools,LD02517,,,,永康市海力实业有限公司-CNOB,3C,HIPO靶向商家,CNOB,"Grocery, Electronics, Books & Hardlines",Garden Supplies,,T4,7495167384868915491,3C,patonlam,BD,李泽,,/,/,/,,是,6-拒绝入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
