LD_006081,lemoda,LD06129,,,,lemoda,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,7494648740089857750,,,,,,,7494648740089857750,已填写,2026-05-29,2.hipo,1,1,1,,T0,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_006082,Lemoda vipbeauty,LD06130,,,,Lemoda vipbeauty,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006083,RCC JEWELRY,LD06131,,,,RCC JEWELRY,/,/,/,#N/A,Costume Jewelry & Accessories,,T1,7494213988283483296,服饰服配,zhoujie.jessie,BD,赵月晨,,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006084,厦门既一安电子商务有限公司,LD06132,,,,厦门既一安电子商务有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006085,深圳扶摇运动装备有限公司,LD06133,,,,深圳扶摇运动装备有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006086,宁波高山数智文化科技股份有限公司,LD06134,,,,宁波高山数智文化科技股份有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006087,深圳市白潮科技有限公司,LD06135,,,,深圳市白潮科技有限公司,/,/,/,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,/,/,/,,是,5-已入驻,,,,,,,7494657007917237701,,,,,,,7494657007917237701,已填写,2026-06-07,2.hipo,1,1,0,110.74,T1,,,,,,,,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0
LD_006088,义乌龙镶贸易有限公司,LD06136,,,,义乌龙镶贸易有限公司,Home&Living,HIPO靶向商家,Amazon/DTC 年GMV＞$730K,#N/A,/,,,NULL,NULL,NULL,BD,江家徵,,赵总,/,/,,是,5-已入驻,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
LD_006089,Gigilli,LD06137,,,,Gigilli,Beauty&FMCG,/,/,#N/A,Classic & Novelty Toys,,T2,7495589842687396764,快消生活,liushanyu.0213,BD,江家徵,,/,/,/,,是,1-待触达,,,,,,,,7496133559496116405,,,,,,7496133559496116405,已填写,,,,,,,,2025-04-14,3.other,1,1,1,41619.82,T3,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_006090,VAYBUD,LD06138,,,,VAYBUD,/,/,/,#N/A,NULL,,T0,7495391915136289130,NULL,NULL,BD,江家徵,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
