LD_007871,TeeCraftU,LD07921,,,,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7496201411191343824,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007872,PUFFIT.US,LD07922,,,,/,Fashion,/,/,Womenswear & Underwear,/,,T3,7495986400876333391,服饰服配,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7496123975727417520,7496123975727417520,,,,,,7496123975727417520,已填写,2025-04-10,1.skm,1,1,1,98317.86,T3,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007873,JINYUE TRADING LLC,LD07923,,,,/,/,/,/,Food & Beverages,/,,T3,7496110274892892175,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007874,Hobibear Shoes,LD07924,,,,/,Fashion,/,/,Shoes,/,,T3,7495517522636868002,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494109538188821566,,,,,,,7494109538188821566,已填写,2026-03-07,2.hipo,1,1,1,13271.20,T2,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007875,ab-crystal,LD07925,,,,/,Fashion,/,/,Jewelry Accessories & Derivatives,/,,T3,7495326572905794486,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007876,Telcast,LD07926,必招 7 月,,,台电,3C,战略重点商家,Amazon/DTC 年GMV＞$730K,/,/,,/,NULL,NULL,NULL,BD,叶佳智,,/,/,/,,是,2-已触达/沟通中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007877,YMQ-US,LD07927,,,,/,Home&Living,/,/,Automotive & Motorcycle,/,,T3,7494673207409411694,汽摩工具,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_007878,Occotaps Shop,LD07928,必招 7 月,,,/,Beauty&FMCG,/,/,Beauty & Personal Care,Nasal & Oral Care,,T3,7496277538702527358,快消生活,qilinyou,BD,张志强,,/,/,/,,是,4-入驻中,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
LD_007879,HOBIBEAR SHOES OFFICIAL,LD07929,,,,/,Fashion,/,/,Shoes,/,,T3,7495434955920738987,运动潮奢,NULL,,,,/,/,/,,否,1-待触达,,,,,,,7494109538188821566,,,,,,,7494109538188821566,已填写,2026-03-07,2.hipo,1,1,1,13271.20,T2,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_007880,SUSTEAS,LD07930,,,,/,Home&Living,/,/,Kitchenware,/,,T3,7495179866735217605,日用家纺,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
