LD_006321,BAGSMART,LD06369,,,,/,Fashion,/,/,#N/A,/,,T5,7495132651492183002,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,7496152688749087720,7496152688749087720,,,,,,7496152688749087720,已填写,2025-04-17,1.skm,1,1,1,0.00,T0,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_006322,FaFa Ray,LD06370,,,,/,Fashion,/,/,#N/A,/,,T5,7494127120283894796,NULL,NULL,BD,赵月晨,,/,/,/,,否,1-待触达,,,,,,,7494625658834225061,,,,,,,7494625658834225061,已填写,2026-05-03,3.other,1,1,1,1624.01,T1,,,,,,,,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
LD_006323,SQTT-C,LD06371,,,,/,Fashion,/,/,NULL,NULL,,T0,7494167048720975432,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006324,GUNAITE JIAJU,LD06372,,,,/,Home&Living,/,/,#N/A,NULL,,NULL,8657851762669225960,育商,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006325,Dabbsson Tech,LD06373,,,,/,/,/,/,#N/A,/,,行业提报,7494215379785320375,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006326,ITODAY Hair,LD06374,,AM招商推进,fashion自补,/,Fashion,/,/,Fashion Accessories,/,,行业提报,7495985929774205266,育商,zhouruilin.824,AM,,郭晓彤,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006327,LUNARA,LD06375,,,,/,Fashion,/,/,#N/A,/,,行业提报,7494320039169918807,NULL,NULL,,,,/,/,/,,否,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006328,NISENWARD TRADING INC,LD06376,必招 7 月,,,/,Home&Living,HIPO靶向商家,美区T5,Kitchenware,Skincare,,T3,7494242986768565738,家具家装,bicongyu,BD,江家徵,,/,13155011386,/,,是,2-已触达/沟通中,,电话沟通过，本周再跟进,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006329,Hyundai Specialty Store,LD06379,,AM招商推进,,/,3C,/,/,Phones & Electronics,Audio & Video,,T3,7495487704102635616,3C,yaoxuyiyi,AM,,张莞清,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LD_006330,Apolosign,LD06380,,AM招商推进,,/,3C,/,/,Household Appliances,Large Home Appliances,,T3,7495623033013504579,3C,patonlam,AM,,张莞清,/,/,/,,是,1-待触达,,,,,,,,,,,,,,,未填写,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
